,0,1,2,3
143,brain,PSYC 169,Brain Damage and Mental Function,"This course provides an introduction to the neural mechanisms underlying perception, memory, language, and other mental capacities. Topics include how brain damage affects these capacities and how patients with brain lesions can contribute to our understanding of the normal brain."
144,brain,PHIL 25,"Science, Philosophy, and the Big Questions",An inquiry into fundamental questions at the intersection of science and philosophy. Topics can include Einstein’s universe; scientific revolutions; the mind and the brain.
145,brawl stars,PHYS 5,Stars and Black Holes,"An introduction to the evolution of stars, including their birth and death. Topics include constellations, the atom and light, telescopes, stellar birth, stellar evolution, white dwarfs, neutron stars, black holes, and general relativity. This course uses basic algebra, proportion, radians, logs, and powers. PHYS 5, 7, 9, and 13 form a four-quarter sequence and can be taken individually in any order."
146,brawl stars,PHYS 160,Stellar Astrophysics,"Introduction to stellar astrophysics: observational properties of stars, solar physics, radiation and energy transport in stars, stellar spectroscopy, nuclear processes in stars, stellar structure and evolution, degenerate matter and compact stellar objects, supernovae and nucleosynthesis. PHYS 160, 161, 162, and 163 may be taken as a four-quarter sequence for students interested in pursuing graduate study in astrophysics or individually as topics of interest."
147,brawl stars,CHEM 111,Origins of Life and the Universe,"A chemical perspective of the origin and evolution of the biogeochemical systems of stars, elements, and planets through time. The chemical evolution of the earth, its atmosphere, and oceans, and their historical records leading to early life are discussed. The content includes search techniques for chemical traces of life on other planets."
148,brawl stars,PHYA 200,Survey of Astronomy,"Introduction to astronomical concepts and phenomenology at the graduate level. Astrophysical measurement, major structures in the universe, properties of stars and galaxies, star formation and stellar processes, HR diagram, the Milky Way, galaxy formation and evolution, stellar and galactic clusters, cosmological distance scales, dark matter and energy, and cosmology. Includes order of magnitude problem-solving covering all fields of astrophysics."
149,brawl stars,PHYA 223,Stellar Structure and Evolution,"Energy generation, flow, hydrostatic equilibrium, equation of state. Dependence of stellar parameters (central surface temperature, radius, luminosity, etc.) on stellar mass and relation to physical constants. Relationship of these parameters to the HR diagram and stellar evolution. Stellar interiors, opacity sources, radiative and convective energy flow. Nuclear reactions, neutrino processes. Polytropic models. White dwarfs and neutron stars. Renumbered from PHYS 223. Students may not receive credit for PHYA 223 and PHYS 223."
150,bubble machine,DSC 240,Machine Learning,"A graduate level course in machine learning algorithms: decision trees, principal component analysis, k-means, clustering, logistic regression, random forests, boosting, neural networks, kernel methods, deep learning."
151,bubble machine,DSE 220,Machine Learning,"This course provides a broad introduction to the practical side of machine learning and data analysis. The topics covered in this class include topics in supervised learning, such as k-nearest neighbor classifiers, decision trees, boosting and perceptrons, and topics in unsupervised learning, such as k-means, PCA, and Gaussian mixture models."
152,bubble machine,COGS 185,Advanced Machine Learning Methods,This course is an advanced seminar and project course that follows the introduction to machine learning courses. Advanced and new machine learning methods will be discussed and used.
153,bubble machine,ECE 175A,Elements of Machine Intelligence: Pattern Recognition and Machine Learning,Introduction to pattern recognition and machine learning. Decision functions. Statistical pattern classifiers. Generative vs. discriminant methods for pattern classification. Feature selection. Regression. Unsupervised learning. Clustering. Applications of machine learning.
154,bubble machine,CSE 251C,Principles of Machine Learning: Machine Learning Theory,"(Formerly CSE 250C.) Theoretical foundations of machine learning. Topics include concentration of measure, the PAC model, uniform convergence bounds, and VC dimension. Possible topics include online learning, learning with expert advice, multiarmed bandits, and boosting. Renumbered from CSE 250C. Students may not receive credit for CSE 251C and CSE 250C. Recommended preparation: CSE 103 and CSE 101 or similar course."
155,building vehicles,ECE 148,Introduction to Autonomous Vehicles,"This course introduces students to the fundamentals of autonomous vehicles using an accelerated and engaging engineering curriculum leveraging the educational benefits of robotics “coopertition” (cooperative competition). Students work in small teams building scale cars utilizing best engineering practices. Skills to be learned include fast prototyping, project management, traditional programming, and computer vision using Robot Operating System (ROS) and artificial intelligence deep learning. Cross-listed with MAE 148. Students may not receive credit for ECE 148 and MAE 148. Program or materials fees may apply."
156,building vehicles,CSE 42,Building and Programming Electronic Devices,"This course allows students to use what they learned in introductory programming courses to make things happen in the real world. Working in teams, students will first learn to program Arduino-based devices. Teams of students will design a custom device and program it to do their bidding. This course is targeted to first-year students and sophomores in engineering and science disciplines who want to practice applying what they have learned in a programming class and to have the chance to program things other than computers. Program or materials fees may apply."
157,building vehicles,MAE 148,Introduction to Autonomous Vehicles,"Fundamentals of autonomous vehicles. Working in small teams, students will develop 1/8-scale autonomous cars that must perform on a simulated city track. Topics include robotics system integration, computer vision, algorithms for navigation, on-vehicle vs. off-vehicle computation, computer learning systems such as neural networks, locomotion systems, vehicle steering, dead reckoning, odometry, sensor fusion, GPS autopilot limitations, wiring, and power distribution and management."
158,building vehicles,MAE 125,Building Energy Efficiency,"Physical building performance including building thermodynamics, daylighting, and solar control. Heat transfer through building envelope, solar geometry, and shading. Heating, ventilation, and air conditioning system design, water heating, microclimates, passive system design, energy efficient design, applicant energy use, cost estimating. Building energy codes and standards. Building design project with whole building energy simulation software."
159,building vehicles,MAE 247,Cooperative Control of Multi-agent Systems,"Tools for the design of cooperative control strategies for multi-agent systems are presented. Topics include continuous and discrete-time evolution models, proximity graphs, performance measures, invariance principles, and coordination algorithms for rendezvous, deployment, flocking, formation of autonomous vehicles and consensus."
160,business,ECON 3,Principles of Macroeconomics,"Introductory macroeconomics: unemployment, inflation, business cycles, monetary and fiscal policy."
161,business,MGT 4,Financial Accounting,"Cross-listed with ECON 4. Recording, organizing, and communicating financial information to business entities."
162,business,ENG 203,Applied Innovations,"Course includes the examination of business plans developed by early stage technology businesses. Students expected to work on the development of business plans for real, innovative business organizations. Will explore all of the business research and analysis that needs to be undertaken in order to develop a complete business plan. Completion of ENG 201 or ENG 202 preferred."
163,business,MGTA 451,"Business Analytics in Marketing, Finance, and Operations","Business analytics projects should strive to create substantial value to an organization by solving impactful business problems. In this class, students will learn to identify business opportunities in the substantive areas of marketing, finance, and operations."
164,business,MGT 3,Quantitative Methods in Business,"Introduction to techniques to develop/analyze data for informed tactical and strategic management decisions: statistical inference, probability, regression analysis, and optimization. Using these analytic approaches, theory-based formulas, and spreadsheets, students explore managerial applications across all areas of business activity."
165,chamber music,MUS 230,Chamber Music Performance,"Performance of representative chamber music literature, instrumental and/or vocal, through coached rehearsal and seminar studies. Course may be repeated for credit since the literature studied varies from quarter to quarter."
166,chamber music,MUS 130,Chamber Music Performance,"Instruction in the preparation of small group performances of representative instrumental and vocal chamber music literature. May be taken for credit six times, after which students must enroll for zero units."
167,chamber music,MUS 200,Contemporary Chamber Opera Performance,Students will collaborate with faculty and guest artists in the preparation and performance of a fully staged contemporary chamber opera. The opera will be presented in multiple public performances.
168,chamber music,MUS 7,"Music, Science, and Computers","Exploration of the interactions among music, science, and technology, including the history and current development of science and technology from the perspective of music."
169,chamber music,COGS 20,Exploring the Musical Mind,"(Cross-listed with MUS 20.) How do we transform complex sounds into comprehensible and meaningful music? What physiological, neurological, cognitive, and cultural systems are involved? Why do we make music in such diverse ways around the globe? Does music have evolutionary or ecological significance? What is the relationship between music, motion, and emotions? This course explores contemporary understandings of how we hear and how we become musical and invites students to listen to new music in new ways. Students may not receive credit for both COGS 20 and MUS 20."
170,city planning,USP 170,Planning for Sustainable Communities,"This course will explore the different factors and processes that shape a sustainable city. Contemporary green planning techniques and values will be evaluated. The course will also discuss planning, designing, and implementation of sustainable facilities that will reduce sprawl."
171,city planning,USP 173,History of Urban Planning and Design,The analysis of the evolution of city designs over time; study of the forces that influence the form and content of a city: why cities change; comparison of urban planning and architecture in Europe and the United States. Students may not receive credit for USP 173 and USP 173GS.
172,city planning,USP 173GS,History of Urban Planning and Design,The analysis of the evolution of city designs over time; study of the forces that influence the form and content of a city; why cities change; comparison of urban planning and architecture in Europe and the United States. Students may not receive credit for USP 173GS and USP 173.
173,city planning,USP 155,Real Estate Development in Global and Comparative Perspective,"This course compares real estate markets in Asia, Europe, the Middle East, and Latin America. It explores the factors that affect these regions’ real estate economies including finance in city systems, emerging markets, development trends, demographic shifts, and urban planning."
174,city planning,USP 3,The City and Social Theory,"An introduction to the sociological study of cities, focusing on urban society in the United States. Students in the course will examine theoretical approaches to the study of urban life; social stratification in the city; urban social and cultural systems–ethnic communities, suburbia, family life in the city, religion, art, and leisure."
175,code,SE 211,Advanced Structural Concrete,"Properties of reinforcing steels; concrete technology; creep, shrinkage and relaxation; Mohr-Coulomb failure criteria for concrete; confinement, moment curvature and force-displacement responses; plastic design; code compliant seismic design philosophy; code compliant seismic design of structural walls. Use of computer resources. Recommended preparation: SE 151A and SE 151B or equivalent background in basic RC/PC design."
176,code,LIGN 177,Multilingualism,"Official and minority languages, pidgins and Creoles, language planning, bilingual education and literacy, code switching, and language attrition."
177,code,CSE 231,Compiler Construction,(Formerly CSE 264C.) Advanced material in programming languages and translator systems. Topics include compilers and code optimization. May be coscheduled with CSE 131.
178,code,MGTP 416,Ethics in Accounting and Business,Addresses ethical theories and critical thinking approaches to analyzing ethical issues. The course provides approaches for helping students make decisions when confronting ethical issues.
179,code,COGS 18,Introduction to Python,"This class will teach fundamental Python programming skills and practices, including the “Zen of Python.” Students will focus on scientific computing and learn to write functions and tests, as well as how to debug code using the Jupyter Notebook programming environment. Students may receive credit for one of the following: BILD 62, COGS 18, CSE 8A, or CSE 6R. Recommended preparation: students with limited computing experience may take COGS 3."
180,coding,ECE 252A,Speech Compression,"Speech signals, production and perception, compression theory, high rate compression using waveform coding (PCM, DPCM, ADPCM, . . .), DSP tools for low rate coding, LPC vocoders, sinusoidal transform coding, multiband coding, medium rate coding using code excited linear prediction (CELP). Recommended preparation: ECE 161A."
181,coding,ECE 256,Fundamentals of Image and Video Compression,"This course provides the theoretical background to image and video compression. Topics cover basic coding tools such as entropy coding, transform, and quantization as well as advanced coding methods: motion estimation and compensation, error resilient coding and scalable coding. Recommended preparation: MATLAB programming."
182,coding,ECE 255B,Source Coding,"Theory and practice of lossy source coding, vector quantization, predictive and differential encoding, universal coding, source-channel coding, asymptotic theory, speech and image applications. Students that have taken 255BN cannot take 255B for credit. Recommended preparation: ECE 250, and 259A or 259AN."
183,coding,ECE 259A,Algebraic Coding,"Fundamentals of block codes, introduction to groups, rings and finite fields, nonbinary codes, cyclic codes such as BCH and RS codes, decoding algorithms, applications. Students who have taken ECE 259AN may not receive credit for ECE 259A."
184,coding,ECE 259B,Probabilistic Coding,"Convolutional codes, maximum-likelihood (ML) decoding, maximum a-posteriori (MAP) decoding, parallel and serial concatenation architectures, turbo codes, repeat-accumulate (RA) codes, the turbo principle, turbo decoding, graph-based codes, message-passing decoding, low-density parity check codes, threshold analysis, applications. Recommended preparation: ECE 155, Digital Communications Theory, and ECE 159, Data Processing and Information Theory."
185,communication,VIS 41,Design Communication,"This course provides a strong foundation in contemporary techniques of design communication, introduced in light of their significance to visual culture and the speculative design field. We cover digital image editing, typography, vector-based illustration and diagramming, and document layout. Also introduced are basic digital video editing tools and web production formats. Emphasis is on mastery of craft through iteration and presentation of multiple projects."
186,communication,COMM 10,Introduction to Communication,"Introduction to the history, theory, and practice of communication, including language and literacy, representation and semiotics, mediated technologies and institutional formations, and social interaction. Integrates the study of communication with a range of media production (for example, writing, electronic media, film, performance). COMM 10 may be taken concurrently with the COMM A-B-C courses and intermediate electives. Course is offered fall, winter, and summer quarters."
187,communication,COGR 299,Graduate Research,Advanced independent study in communication under the guidance of Department of Communication faculty.
188,communication,COGS 142,Animal Communication,"This course introduces the study of animal communication, the key terminology, the remarkable communicative systems that several animal species possess, and the key similarities and differences between human and non-human animals’ communications."
189,communication,COMM 168,Bilingual Communication,"This course is designed to introduce students to multiple settings where bilingualism is the mode of communication. Examination of how such settings are socially constructed and culturally based. Language policy, bilingual education, and linguistic minorities, as well as field activities included."
190,composite,SE 253A,Mechanics and Design of Composite Structures,"Graduate-level introduction to advanced composite materials and their applications. Fiber and matrix properties, 3D properties, stress-strain relationships, micromechanics, stiffness, ply-by-ply stress, classical laminated plate theory, hygrothermal/CTE behavior, and failure prediction. Lab activity will involve composite fabrication methods and design, analysis, build, and testing of composite structure. May be coscheduled with SE 142. Program or materials fees may apply."
191,composite,SE 255,Textile Composite Structures,"Introduction to textile structure and behavior, mechanics of yarns and fabrics as relevant to structural composites and geotechnical applications. Mechanics of textiles and fabric-based composites. Applications in fiber reinforced composites, coated textile structures, geotextiles."
192,composite,SE 142,Design of Composite Structures,"Introduction to advanced composite materials and their applications. Fiber and matrix properties, micromechanics, stiffness, ply-by-ply stress, hygrothermal behavior, and failure prediction. Lab activity will involve design, analysis, fabrication, and testing of composite structure. Program or materials fees may apply."
193,composite,MAE 21,Aerospace Materials Science,"Atomic structure and physical properties of engineering materials including metals, ceramics, glasses, polymers, and composite materials. Defects and phase diagram of materials. Material testing and processing. Program or materials fees may apply."
194,composite,PHYS 212A,Quantum Mechanics I,"Quantum principles of state (pure, composite, entangled, mixed), observables, time evolution, and measurement postulate. Simple soluble systems: two-state, harmonic oscillator, and spherical potentials. Angular momentum and spin. Time-independent approximations."
195,computer,ECE 30,Introduction to Computer Engineering,"The fundamentals of both the hardware and software in a computer system. Topics include representation of information, computer organization and design, assembly and microprogramming, current technology in logic design."
196,computer,CSE 211,Software Testing and Analysis,"Survey of testing and analysis methods. Introduction to advanced topics in area as well as traditional production methods. Topics include inspections and reviews, formal analysis, verification and validation standards, nonstatistical testing, statistical-testing and reliability models, coverage methods, testing and analysis tools, and organization management and planning. Methods special to special development approaches such as object-oriented testing will also be described."
197,computer,MAE 05,Quantitative Computer Skills,"Introductory course for nonengineering majors. Use of computers in solving problems; applications from life sciences, physical sciences, and engineering. Students run existing computer programs and complete some programming in BASIC."
198,computer,SE 3,Graphical Communication for Engineering Design,"Use of computer graphics (CAD software) to communicate engineering designs. Includes visualization, sketching, 2D and 3D graphics standards, dimensioning, tolerance, assemblies, and prototyping/testing with light manufacturing methods. Project/system management software, i.e., building information modeling (BIM), will be introduced. Use of computer resources."
199,computer,CSE 227,Computer Security,"Security and threat models, risk analysis, authentication and authorization, auditing, operating systems security, access control mechanisms, protection mechanisms, distributed systems/network security, security architecture, electronic commerce security mechanisms, security evaluation."
200,computer science electives,CSE 211,Software Testing and Analysis,"Survey of testing and analysis methods. Introduction to advanced topics in area as well as traditional production methods. Topics include inspections and reviews, formal analysis, verification and validation standards, nonstatistical testing, statistical-testing and reliability models, coverage methods, testing and analysis tools, and organization management and planning. Methods special to special development approaches such as object-oriented testing will also be described."
201,computer science electives,CSE 599,Teaching Methods in Computer Science,Training in teaching methods in the field of computer science. This course examines theoretical and practical communication and teaching techniques particularly appropriate to computer science.
202,computer science electives,EDS 39,Explorations in Secondary STEM Education,"Undergraduate students explore current practices and issues in public education focusing on STEM secondary education (grades 6–12) through readings, guest speakers, seminars, and observations in math, science, and computer science classrooms at local schools."
203,computer science electives,CSE 197C,Cooperative Practicum in Computer Science and Engineering,Directed study accompanying full-time on-site computer science cooperative education practicum.
204,computer science electives,CSE 91,Perspectives in Computer Science and Engineering,"A seminar format discussion led by CSE faculty on topics in central areas of computer science, concentrating on the relation among them, recent developments, and future directions."
205,computer vision,CSE 252A,Computer Vision I,"Comprehensive introduction to computer vision providing broad coverage including low-level vision (image formation, photometry, color, image feature detection), inferring 3-D properties from images (shape-from shading, stereo vision, motion interpretation) and object recognition. Companion to CSE 252B covering complementary topics."
206,computer vision,CSE 252B,Computer Vision II,"Comprehensive introduction to computer vision providing focused coverage of multiview geometry, structure from motion, image segmentation, motion segmentation, texture analysis and recognition, object detection, and image-based rendering. Companion to CSE 252A covering complementary topics."
207,computer vision,CSE 252D,Advanced Computer Vision,"This course covers advanced concepts in computer vision. Example topics include 3-D reconstruction, face recognition, object detection, semantic segmentation, action recognition, and domain adaptation. Consistent with recent developments, deep learning forms a significant fraction of the class. Lectures and assignments cover recent works on fundamental problems in computer vision, with the aim to prepare students for pursuing careers in the field. Recommended preparation: Completion of one of CSE 252A, 252B, 250A, or 250B is highly recommended."
208,computer vision,CSE 152B,Introduction to Computer Vision II,"This course covers advanced topics needed to apply computer vision in industry or follow current research. Example topics include real-time systems for 3-D computer vision, machine learning tools such as support-vector machine (SVM) and boosting for image classification, and deep neural networks for object detection and semantic segmentation."
209,computer vision,MGT 260,Quantitative Methods in Marketing,"This course applies methods from econometrics and computer science to estimate consumers’ preferences and inform firm decisions. Sample topics include estimating econometric models with large data, using Natural Language Processing (NLP) and computer vision modeling to solve business problems."
210,computing,COGS 3,Introduction to Computing,"Covers the fundamental concepts that underlie all programming languages and provides an introduction to the essential information about algorithms and data structures. Students design and implement web applications using HTML5, CSS3, JavaScript, and Photoshop. No previous programming experience is required."
211,computing,COGS 8,Hands-on Computing,"Introductory-level course that will give students insight into the fundamental concepts of algorithmic thinking and design. The course will provide the students with first-person, hands-on experience programming a web crawler and simple physical robots."
212,computing,ECON 280,Computation,Introduction to computing for economists.
213,computing,PHYS 233,Collider Physics,"Software, simulation, computing techniques for particle physics; collider physics."
214,computing,COGS 18,Introduction to Python,"This class will teach fundamental Python programming skills and practices, including the “Zen of Python.” Students will focus on scientific computing and learn to write functions and tests, as well as how to debug code using the Jupyter Notebook programming environment. Students may receive credit for one of the following: BILD 62, COGS 18, CSE 8A, or CSE 6R. Recommended preparation: students with limited computing experience may take COGS 3."
215,conservation,ENVR 105,Conservation Solutions,"A project-based course in which students will develop and implement a curriculum module for high school students at the Dawson Los Monos Canyon Reserve. Includes an introduction to the natural history and resource management challenges of this ecological preserve. Students will conduct research projects which will be used to create a curriculum module for a high school environmental science course and guide high school students through field research and a discussion of conservation solutions. Course may include a required field trip, and students are responsible for their own transportation."
216,conservation,ECON 144,Economics of Conservation,"Examines conservation of biodiversity from an economic perspective. Topics include valuing biodiversity, defining successful conservation, and evaluating the cost effectiveness of policies such as conservation payments, ecotourism, and privatization. Emphasis on forests, coral reefs, elephants, tigers, and sea turtles."
217,conservation,PHYS 4A,Physics for Physics Majors–Mechanics,"The first quarter of a five-quarter calculus-based physics sequence for physics majors and students with a serious interest in physics. The topics covered are vectors, particle kinematics and dynamics, work and energy, conservation of energy, conservation of momentum, collisions, rotational kinematics and dynamics, equilibrium of rigid bodies, small oscillations, gravitation, and central force motion."
218,conservation,SIOB 286,"Marine Science, Economics, and Policy","This course investigates global issues in marine conservation and potential policy solutions. The approach is interdisciplinary, fast-paced, and discussion oriented. Students will become acquainted with sufficient background in marine biology, ecology, marine and conservation economics, international law, and policy as preparation for participation in discussion on real-world issues in marine conservation. Topics and instructors change each quarter."
219,conservation,BIEB 130,Marine Conservation Biology,"Course integrates principles of ecology and marine biology to examine marine biodiversity loss from overexploitation, habitat loss, invasion, climate change, and pollution. We examine consequences of biodiversity loss to marine ecosystems, discuss management regimes, and address global and local ocean conservation problems. Course includes basic overviews of climate, marine biology, and oceanography that may be similar to topics covered in introductory courses at Scripps Institution of Oceanography."
220,convolutional neural networks,CSE 151B,Deep Learning,"(Formerly CSE 154.) This course covers the fundamentals of neural networks. We introduce linear regression, logistic regression, perceptrons, multilayer networks and back-propagation, convolutional neural networks, recurrent networks, and deep networks trained by reinforcement learning. Students may receive credit for one of the following: CSE 151B, CSE 154, or COGS 181."
221,convolutional neural networks,DSC 250,Advanced Data Mining,"Graph mining and basic text analysis (including keyphrase extraction and generation), set expansion and taxonomy construction, graph representation learning, graph convolutional neural networks, heterogeneous information networks, label propagation, and truth findings."
222,convolutional neural networks,COGS 181,Neural Networks and Deep Learning,"This course will cover the basics about neural networks, as well as recent developments in deep learning including deep belief nets, convolutional neural networks, recurrent neural networks, long-short term memory, and reinforcement learning. We will study details of the deep learning architectures with a focus on learning end-to-end models for these tasks, particularly image classification. Students may receive credit for one of the following: COGS 181, CSE 151B, or CSE 154."
223,convolutional neural networks,DSC 140B,Representation Learning,"This course is an introduction to machine learning which explores techniques for learning suitable representations from data. Topics include clustering, dimensionality reduction, manifold learning, principal component analysis, spectral embeddings, multilayer perceptrons, autoencoders, convolutional and recurrent neural networks, and other aspects of deep learning. The course focuses on the underlying mathematical principles, but some attention is also given to implementation."
224,convolutional neural networks,ECE 271C,Deep Learning and Applications,"Foundations of deep learning. Deep learning architectures and learning algorithms. Feedforward, convolutional, and recurrent networks. Regularization. Applications to vision, speech, or text processing."
225,course search engines,MAE 213,Mechanics of Propulsion,"Fluid mechanics, thermodynamics and combustion processes involved in propulsion of aircraft and rockets by air breathing engines, and solid and liquid propellant rocket engines characteristics and matching of engine components; diffusers, compressors, combustors, turbines, pumps, nozzles."
226,course search engines,CSE 150B,Introduction to Artificial Intelligence: Search and Reasoning,"The course will introduce important ideas and algorithms in search and reasoning and demonstrate how they are used in practical AI applications. Topics include A* search, adversarial search, Monte Carlo tree search, reinforcement learning, constraint solving and optimization, propositional and first-order reasoning."
227,course search engines,PHYS 12,Energy and the Environment,"A course covering energy fundamentals, energy use in an industrial society and the impact of large-scale energy consumption. It addresses topics on fossil fuel, heat engines, solar energy, nuclear energy, energy conservation, transportation, air pollution and global effects. Concepts and quantitative analysis."
228,course search engines,CSE 257,Search and Optimization,"The course will cover core algorithms for sequential decision-making problems in autonomous systems. Topics include heuristic search, Monte Carlo search, deep reinforcement learning, nonlinear optimization, mixed-integer optimization, and stochastic optimization."
229,course search engines,MAE 114,Space Propulsion,"This course covers the fundamentals of rocket propulsion and discusses advanced concepts in space propulsion. Topics include liquid and solid propellant rocket engines, electrical rocket propulsion, nuclear propulsion devices, solar-powered vehicles, and current challenges and opportunities in launch vehicle technologies."
230,covid 19,LIDS 19,Directed Study—Language,"Introductory-level study of a language in the language laboratory on a self-instructional basis. Depending on the availability of appropriate study materials, the course may be taken in blocks of two or four units of credit and may be repeated up to the total number of units available for that language."
231,covid 19,MUS 19,Blacktronika: Afrofuturism in Electronic Music,"Explores the lineage of electronic music’s Black pioneers, who have been integral but overlooked in the discussion around the creation and development of house, techno, drum and bass, and experimental music. These musics were developed with sociopolitical movements at the foundation of the sounds. We will investigate the African diaspora lens through the artists’ usage of science fiction, technology, and futurist ideologies."
232,covid 19,NO RESULTS,NO RESULTS,NO RESULTS
233,covid 19,NO RESULTS,NO RESULTS,NO RESULTS
234,covid 19,NO RESULTS,NO RESULTS,NO RESULTS
235,creative writing,LTSP 166,Creative Writing,A workshop designed to foster and encourage writing in Spanish of students working on short forms of fiction. The workshop will include discussions of techniques and intensive writing.
236,creative writing,TDGR 251,Playwriting Practicum,"Creative writing project developing original scripts from outline to the final play. Plays may vary depending on the quarter but will include writing of a realistic one-act, a nonrealistic one-act, a one-act documentary or dramatization of fiction, a full-length play."
237,creative writing,TDGR 255,Writing for Performance,This course is open to any graduate student who wants to expand their knowledge and experience of writing for performance. Open to graduate students who wish to incorporate writing into their creative and research practice. S/U grades only. May be taken for credit two times.
238,creative writing,TDGE 3,Cultivating the Creative Mind,"This course will use the theatrical context to integrate scientific research about creativity, group dynamics, and related topics. Through a mix of theoretical and experiential classes and assignments, we will explore the intersection of theatre and neuroscience, investigating and expanding the creative mind."
239,creative writing,LTWR 126,Creative Nonfiction Workshop,"A writing, reading, and critical-thinking workshop designed to produce nonfiction pieces that fall outside the limits of the essay form. Included are travel narratives, memoir, and information-based writing that transform their own materials into compelling literature. May be taken for credit up to three times. Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department."
240,creativity,PSYC 176,Creativity,"This course provides an overview of how to foster creativity in individuals, groups, and organizations. Themes that cut across all three levels are highlighted."
241,creativity,MGT 422,Creativity and Innovation,"This course focuses on fostering and maintaining creativity in entrepreneurial ventures and in general management more broadly. Reading materials, cases, classroom, and home exercises will help students understand and be able to use creativity in their own working lives. Students may not earn credit for both MGT 422 and MGT 222. They are course equivalents."
242,creativity,DSGN 118,Design for Future Creativity and Productivity,"This course covers fundamentals of the design of creativity support tools for various types of digital content, including images, videos, animations, information visualization, augmented/mixed/virtual reality. We will also explore how novel interaction techniques such as gestural interaction, speech input, and artificial intelligence can be used to support people’s creativity and productivity."
243,creativity,TDGE 3,Cultivating the Creative Mind,"This course will use the theatrical context to integrate scientific research about creativity, group dynamics, and related topics. Through a mix of theoretical and experiential classes and assignments, we will explore the intersection of theatre and neuroscience, investigating and expanding the creative mind."
244,creativity,COGS 252,Cognitive Science of Mathematics,"Empirical investigation of the nature of mathematics. How the human mind/brain creates abstract concepts, such as infinity, infinitesimals, imaginary numbers, or zero: embodiment, creativity, and history. Cognitive approaches that connect mathematics to human thought in general."
245,credit,SEV 20,First-Year Honors Seminar,"This course introduces students to UC San Diego’s vibrant intellectual community through weekly seminars and field trips led by UC San Diego faculty and other invited speakers, who will discuss their path-breaking research and other exciting artistic and scientific endeavors taking place on campus and in the surrounding community."
246,credit,LIGN 199,Independent Study in Linguistics,The student undertakes a program of research or advanced reading in linguistics under the supervision of a faculty member of the Department of Linguistics. (P/NP grades only.)
247,credit,ERC 92,Honors Project,"Individual project on a topic chosen by the student, done under direction of a faculty member."
248,credit,CHEM 6CH,Honors General Chemistry III,Third quarter of a three-quarter honors sequence intended for well-prepared science and engineering majors. Topics are similar to those in 6C but are taught at a higher level and faster pace. May be taken for credit after credit for CHEM 6C. Students completing 6CH may not subsequently take 6C for credit.
249,credit,MAE 98,Directed Group Study,"Directed group study on a topic or in a field not included in the regular departmental curriculum. P/NP grades only. May be taken for credit two times. Credit may not be received for a course numbered 97, 98, or 99 subsequent to receiving credit for a course numbered 197, 198, or 199."
250,credit cards,MGT 12,Personal Financial Management,"Course examines management of personal financial assets: savings and checking accounts, fixed assets, and credit cards. Budgeting, loan applications, payment terms, and statement reconciliation will be covered as will credit ratings, cash management, compound interest, bank operations, and contract obligations."
251,credit cards,SOCI 165,Predicting the Future from Tarot Cards to Computer Algorithms,"No one can see the future but everyone must try. When we act with purpose, we must form an idea of the consequences of our actions and the world in which our action will unfold. We must form expectations about the future, and therefore, we must predict, often in the face of great uncertainty, what will and won’t happen. This course surveys the social devices from tarot cards to computer algorithms designed to solve the problem of prediction."
252,credit cards,SEV 20,First-Year Honors Seminar,"This course introduces students to UC San Diego’s vibrant intellectual community through weekly seminars and field trips led by UC San Diego faculty and other invited speakers, who will discuss their path-breaking research and other exciting artistic and scientific endeavors taking place on campus and in the surrounding community."
253,credit cards,LIGN 199,Independent Study in Linguistics,The student undertakes a program of research or advanced reading in linguistics under the supervision of a faculty member of the Department of Linguistics. (P/NP grades only.)
254,credit cards,ERC 92,Honors Project,"Individual project on a topic chosen by the student, done under direction of a faculty member."
255,cryptography,CSE 207,Modern Cryptography,"Private and public key cryptography, introduction to reduction-based proofs of security, concrete security, block ciphers, pseudorandom functions and generators, symmetric encryption, asymmetric encryption, computational number theory, RSA and discrete log systems, message authentication, digital signatures, key distribution and key management."
256,cryptography,CSE 208,Advanced Cryptography,"Zero-knowledge, secure computation, session-key distribution, protocols, electronic payment, one-way functions, trapdoor permutations, pseudorandom bit generators, hardcore bits."
257,cryptography,MATH 187B,Mathematics of Modern Cryptography,"The object of this course is to study modern public key cryptographic systems and cryptanalysis (e.g., RSA, Diffie-Hellman, elliptic curve cryptography, lattice-based cryptography, homomorphic encryption) and the mathematics behind them. We also explore other applications of these computational techniques (e.g., integer factorization and attacks on RSA). Recommended preparation: Familiarity with Python and/or mathematical software (especially SAGE) would be helpful, but it is not required."
258,cryptography,CSE 209B,Topics/Seminar in Cryptography,Topics of special interest in cryptography to be presented by faculty and students under faculty direction. Topics vary from quarter to quarter. May be repeated for credit.
259,cryptography,MATH 187A,Introduction to Cryptography,An introduction to the basic concepts and techniques of modern cryptography. Classical cryptanalysis. Probabilistic models of plaintext. Monalphabetic and polyalphabetic substitution. The one-time system. Caesar-Vigenere-Playfair-Hill substitutions. The Enigma. Modern-day developments. The Data Encryption Standard. Public key systems. Security aspects of computer networks. Data protection. Electronic mail. Recommended preparation: basic programming experience. Renumbered from MATH 187. Students may not receive credit for both MATH 187A and MATH 187.
