Query,Class Code,Course Title,Course Description,Relevance,Ranking (position)
communication,COMM 10,Introduction to Communication,"Introduction to the history, theory, and practice of communication, including language and literacy, representation and semiotics, mediated technologies and institutional formations, and social interaction. Integrates the study of communication with a range of media production (for example, writing, electronic media, film, performance). COMM 10 may be taken concurrently with the COMM A-B-C courses and intermediate electives. Course is offered fall, winter, and summer quarters.",1,2
communication,COGR 299,Graduate Research,Advanced independent study in communication under the guidance of Department of Communication faculty.,1,3
communication,COGS 142,Animal Communication,"This course introduces the study of animal communication, the key terminology, the remarkable communicative systems that several animal species possess, and the key similarities and differences between human and non-human animals’ communications.",1,4
communication,COMM 168,Bilingual Communication,"This course is designed to introduce students to multiple settings where bilingualism is the mode of communication. Examination of how such settings are socially constructed and culturally based. Language policy, bilingual education, and linguistic minorities, as well as field activities included.",1,5
composite,SE 253A,Mechanics and Design of Composite Structures,"Graduate-level introduction to advanced composite materials and their applications. Fiber and matrix properties, 3D properties, stress-strain relationships, micromechanics, stiffness, ply-by-ply stress, classical laminated plate theory, hygrothermal/CTE behavior, and failure prediction. Lab activity will involve composite fabrication methods and design, analysis, build, and testing of composite structure. May be coscheduled with SE 142. Program or materials fees may apply.",1,1
composite,SE 255,Textile Composite Structures,"Introduction to textile structure and behavior, mechanics of yarns and fabrics as relevant to structural composites and geotechnical applications. Mechanics of textiles and fabric-based composites. Applications in fiber reinforced composites, coated textile structures, geotextiles.",1,2
composite,SE 142,Design of Composite Structures,"Introduction to advanced composite materials and their applications. Fiber and matrix properties, micromechanics, stiffness, ply-by-ply stress, hygrothermal behavior, and failure prediction. Lab activity will involve design, analysis, fabrication, and testing of composite structure. Program or materials fees may apply.",1,3
composite,MAE 21,Aerospace Materials Science,"Atomic structure and physical properties of engineering materials including metals, ceramics, glasses, polymers, and composite materials. Defects and phase diagram of materials. Material testing and processing. Program or materials fees may apply.",1,4
composite,PHYS 212A,Quantum Mechanics I,"Quantum principles of state (pure, composite, entangled, mixed), observables, time evolution, and measurement postulate. Simple soluble systems: two-state, harmonic oscillator, and spherical potentials. Angular momentum and spin. Time-independent approximations.",1,5
computer science electives,CSE 211,Software Testing and Analysis,"Survey of testing and analysis methods. Introduction to advanced topics in area as well as traditional production methods. Topics include inspections and reviews, formal analysis, verification and validation standards, nonstatistical testing, statistical-testing and reliability models, coverage methods, testing and analysis tools, and organization management and planning. Methods special to special development approaches such as object-oriented testing will also be described.",1,1
computer science electives,CSE 599,Teaching Methods in Computer Science,Training in teaching methods in the field of computer science. This course examines theoretical and practical communication and teaching techniques particularly appropriate to computer science.,1,2
computer science electives,EDS 39,Explorations in Secondary STEM Education,"Undergraduate students explore current practices and issues in public education focusing on STEM secondary education (grades 6–12) through readings, guest speakers, seminars, and observations in math, science, and computer science classrooms at local schools.",1,3
computer science electives,CSE 197C,Cooperative Practicum in Computer Science and Engineering,Directed study accompanying full-time on-site computer science cooperative education practicum.,1,4
computer science electives,CSE 91,Perspectives in Computer Science and Engineering,"A seminar format discussion led by CSE faculty on topics in central areas of computer science, concentrating on the relation among them, recent developments, and future directions.",1,5
computer vision,CSE 252A,Computer Vision I,"Comprehensive introduction to computer vision providing broad coverage including low-level vision (image formation, photometry, color, image feature detection), inferring 3-D properties from images (shape-from shading, stereo vision, motion interpretation) and object recognition. Companion to CSE 252B covering complementary topics.",1,1
computer vision,CSE 252B,Computer Vision II,"Comprehensive introduction to computer vision providing focused coverage of multiview geometry, structure from motion, image segmentation, motion segmentation, texture analysis and recognition, object detection, and image-based rendering. Companion to CSE 252A covering complementary topics.",1,2
computer vision,CSE 252D,Advanced Computer Vision,"This course covers advanced concepts in computer vision. Example topics include 3-D reconstruction, face recognition, object detection, semantic segmentation, action recognition, and domain adaptation. Consistent with recent developments, deep learning forms a significant fraction of the class. Lectures and assignments cover recent works on fundamental problems in computer vision, with the aim to prepare students for pursuing careers in the field. Recommended preparation: Completion of one of CSE 252A, 252B, 250A, or 250B is highly recommended.",1,3
computer vision,CSE 152B,Introduction to Computer Vision II,"This course covers advanced topics needed to apply computer vision in industry or follow current research. Example topics include real-time systems for 3-D computer vision, machine learning tools such as support-vector machine (SVM) and boosting for image classification, and deep neural networks for object detection and semantic segmentation.",1,4
computer vision,MGT 260,Quantitative Methods in Marketing,"This course applies methods from econometrics and computer science to estimate consumers’ preferences and inform firm decisions. Sample topics include estimating econometric models with large data, using Natural Language Processing (NLP) and computer vision modeling to solve business problems.",1,5
computing,COGS 3,Introduction to Computing,"Covers the fundamental concepts that underlie all programming languages and provides an introduction to the essential information about algorithms and data structures. Students design and implement web applications using HTML5, CSS3, JavaScript, and Photoshop. No previous programming experience is required.",1,1
computing,COGS 8,Hands-on Computing,"Introductory-level course that will give students insight into the fundamental concepts of algorithmic thinking and design. The course will provide the students with first-person, hands-on experience programming a web crawler and simple physical robots.",1,2
computing,ECON 280,Computation,Introduction to computing for economists.,1,3
computing,PHYS 233,Collider Physics,"Software, simulation, computing techniques for particle physics; collider physics.",0,4
computing,COGS 18,Introduction to Python,"This class will teach fundamental Python programming skills and practices, including the “Zen of Python.” Students will focus on scientific computing and learn to write functions and tests, as well as how to debug code using the Jupyter Notebook programming environment. Students may receive credit for one of the following: BILD 62, COGS 18, CSE 8A, or CSE 6R. Recommended preparation: students with limited computing experience may take COGS 3.",1,5
conservation,ENVR 105,Conservation Solutions,"A project-based course in which students will develop and implement a curriculum module for high school students at the Dawson Los Monos Canyon Reserve. Includes an introduction to the natural history and resource management challenges of this ecological preserve. Students will conduct research projects which will be used to create a curriculum module for a high school environmental science course and guide high school students through field research and a discussion of conservation solutions. Course may include a required field trip, and students are responsible for their own transportation.",1,1
conservation,ECON 144,Economics of Conservation,"Examines conservation of biodiversity from an economic perspective. Topics include valuing biodiversity, defining successful conservation, and evaluating the cost effectiveness of policies such as conservation payments, ecotourism, and privatization. Emphasis on forests, coral reefs, elephants, tigers, and sea turtles.",1,2
conservation,PHYS 4A,Physics for Physics Majors–Mechanics,"The first quarter of a five-quarter calculus-based physics sequence for physics majors and students with a serious interest in physics. The topics covered are vectors, particle kinematics and dynamics, work and energy, conservation of energy, conservation of momentum, collisions, rotational kinematics and dynamics, equilibrium of rigid bodies, small oscillations, gravitation, and central force motion.",0,3
conservation,SIOB 286,"Marine Science, Economics, and Policy","This course investigates global issues in marine conservation and potential policy solutions. The approach is interdisciplinary, fast-paced, and discussion oriented. Students will become acquainted with sufficient background in marine biology, ecology, marine and conservation economics, international law, and policy as preparation for participation in discussion on real-world issues in marine conservation. Topics and instructors change each quarter.",1,4
conservation,BIEB 130,Marine Conservation Biology,"Course integrates principles of ecology and marine biology to examine marine biodiversity loss from overexploitation, habitat loss, invasion, climate change, and pollution. We examine consequences of biodiversity loss to marine ecosystems, discuss management regimes, and address global and local ocean conservation problems. Course includes basic overviews of climate, marine biology, and oceanography that may be similar to topics covered in introductory courses at Scripps Institution of Oceanography.",1,5
convolutional neural networks,CSE 151B,Deep Learning,"(Formerly CSE 154.) This course covers the fundamentals of neural networks. We introduce linear regression, logistic regression, perceptrons, multilayer networks and back-propagation, convolutional neural networks, recurrent networks, and deep networks trained by reinforcement learning. Students may receive credit for one of the following: CSE 151B, CSE 154, or COGS 181.",1,1
convolutional neural networks,DSC 250,Advanced Data Mining,"Graph mining and basic text analysis (including keyphrase extraction and generation), set expansion and taxonomy construction, graph representation learning, graph convolutional neural networks, heterogeneous information networks, label propagation, and truth findings.",1,2
convolutional neural networks,COGS 181,Neural Networks and Deep Learning,"This course will cover the basics about neural networks, as well as recent developments in deep learning including deep belief nets, convolutional neural networks, recurrent neural networks, long-short term memory, and reinforcement learning. We will study details of the deep learning architectures with a focus on learning end-to-end models for these tasks, particularly image classification. Students may receive credit for one of the following: COGS 181, CSE 151B, or CSE 154.",1,3
convolutional neural networks,DSC 140B,Representation Learning,"This course is an introduction to machine learning which explores techniques for learning suitable representations from data. Topics include clustering, dimensionality reduction, manifold learning, principal component analysis, spectral embeddings, multilayer perceptrons, autoencoders, convolutional and recurrent neural networks, and other aspects of deep learning. The course focuses on the underlying mathematical principles, but some attention is also given to implementation.",1,4
convolutional neural networks,ECE 271C,Deep Learning and Applications,"Foundations of deep learning. Deep learning architectures and learning algorithms. Feedforward, convolutional, and recurrent networks. Regularization. Applications to vision, speech, or text processing.",1,5
covid 19,LIDS 19,Directed Study—Language,"Introductory-level study of a language in the language laboratory on a self-instructional basis. Depending on the availability of appropriate study materials, the course may be taken in blocks of two or four units of credit and may be repeated up to the total number of units available for that language.",0,1
covid 19,MUS 19,Blacktronika: Afrofuturism in Electronic Music,"Explores the lineage of electronic music’s Black pioneers, who have been integral but overlooked in the discussion around the creation and development of house, techno, drum and bass, and experimental music. These musics were developed with sociopolitical movements at the foundation of the sounds. We will investigate the African diaspora lens through the artists’ usage of science fiction, technology, and futurist ideologies.",0,2
covid 19,NO RESULTS,NO RESULTS,NO RESULTS,0,3
covid 19,NO RESULTS,NO RESULTS,NO RESULTS,0,4
covid 19,NO RESULTS,NO RESULTS,NO RESULTS,0,5
creative writing,LTSP 166,Creative Writing,A workshop designed to foster and encourage writing in Spanish of students working on short forms of fiction. The workshop will include discussions of techniques and intensive writing.,1,1
creative writing,TDGR 251,Playwriting Practicum,"Creative writing project developing original scripts from outline to the final play. Plays may vary depending on the quarter but will include writing of a realistic one-act, a nonrealistic one-act, a one-act documentary or dramatization of fiction, a full-length play.",1,2
creative writing,TDGR 255,Writing for Performance,This course is open to any graduate student who wants to expand their knowledge and experience of writing for performance. Open to graduate students who wish to incorporate writing into their creative and research practice. S/U grades only. May be taken for credit two times.,1,3
creative writing,TDGE 3,Cultivating the Creative Mind,"This course will use the theatrical context to integrate scientific research about creativity, group dynamics, and related topics. Through a mix of theoretical and experiential classes and assignments, we will explore the intersection of theatre and neuroscience, investigating and expanding the creative mind.",1,4
creative writing,LTWR 126,Creative Nonfiction Workshop,"A writing, reading, and critical-thinking workshop designed to produce nonfiction pieces that fall outside the limits of the essay form. Included are travel narratives, memoir, and information-based writing that transform their own materials into compelling literature. May be taken for credit up to three times. Restricted to major/minor code LT34 during first pass of registration. All other students may register during second pass of registration with the approval of the department.",1,5
creativity,PSYC 176,Creativity,"This course provides an overview of how to foster creativity in individuals, groups, and organizations. Themes that cut across all three levels are highlighted.",1,1
creativity,MGT 422,Creativity and Innovation,"This course focuses on fostering and maintaining creativity in entrepreneurial ventures and in general management more broadly. Reading materials, cases, classroom, and home exercises will help students understand and be able to use creativity in their own working lives. Students may not earn credit for both MGT 422 and MGT 222. They are course equivalents.",1,2
creativity,DSGN 118,Design for Future Creativity and Productivity,"This course covers fundamentals of the design of creativity support tools for various types of digital content, including images, videos, animations, information visualization, augmented/mixed/virtual reality. We will also explore how novel interaction techniques such as gestural interaction, speech input, and artificial intelligence can be used to support people’s creativity and productivity.",1,3
creativity,TDGE 3,Cultivating the Creative Mind,"This course will use the theatrical context to integrate scientific research about creativity, group dynamics, and related topics. Through a mix of theoretical and experiential classes and assignments, we will explore the intersection of theatre and neuroscience, investigating and expanding the creative mind.",1,4
creativity,COGS 252,Cognitive Science of Mathematics,"Empirical investigation of the nature of mathematics. How the human mind/brain creates abstract concepts, such as infinity, infinitesimals, imaginary numbers, or zero: embodiment, creativity, and history. Cognitive approaches that connect mathematics to human thought in general.",0,5
credit cards,MGT 12,Personal Financial Management,"Course examines management of personal financial assets: savings and checking accounts, fixed assets, and credit cards. Budgeting, loan applications, payment terms, and statement reconciliation will be covered as will credit ratings, cash management, compound interest, bank operations, and contract obligations.",1,1
credit cards,SOCI 165,Predicting the Future from Tarot Cards to Computer Algorithms,"No one can see the future but everyone must try. When we act with purpose, we must form an idea of the consequences of our actions and the world in which our action will unfold. We must form expectations about the future, and therefore, we must predict, often in the face of great uncertainty, what will and won’t happen. This course surveys the social devices from tarot cards to computer algorithms designed to solve the problem of prediction.",0,2
credit cards,SEV 20,First-Year Honors Seminar,"This course introduces students to UC San Diego’s vibrant intellectual community through weekly seminars and field trips led by UC San Diego faculty and other invited speakers, who will discuss their path-breaking research and other exciting artistic and scientific endeavors taking place on campus and in the surrounding community.",0,3
credit cards,LIGN 199,Independent Study in Linguistics,The student undertakes a program of research or advanced reading in linguistics under the supervision of a faculty member of the Department of Linguistics. (P/NP grades only.),0,4
credit cards,ERC 92,Honors Project,"Individual project on a topic chosen by the student, done under direction of a faculty member.",0,5
cryptography,CSE 207,Modern Cryptography,"Private and public key cryptography, introduction to reduction-based proofs of security, concrete security, block ciphers, pseudorandom functions and generators, symmetric encryption, asymmetric encryption, computational number theory, RSA and discrete log systems, message authentication, digital signatures, key distribution and key management.",1,1
cryptography,CSE 208,Advanced Cryptography,"Zero-knowledge, secure computation, session-key distribution, protocols, electronic payment, one-way functions, trapdoor permutations, pseudorandom bit generators, hardcore bits.",1,2
cryptography,MATH 187B,Mathematics of Modern Cryptography,"The object of this course is to study modern public key cryptographic systems and cryptanalysis (e.g., RSA, Diffie-Hellman, elliptic curve cryptography, lattice-based cryptography, homomorphic encryption) and the mathematics behind them. We also explore other applications of these computational techniques (e.g., integer factorization and attacks on RSA). Recommended preparation: Familiarity with Python and/or mathematical software (especially SAGE) would be helpful, but it is not required.",1,3
cryptography,CSE 209B,Topics/Seminar in Cryptography,Topics of special interest in cryptography to be presented by faculty and students under faculty direction. Topics vary from quarter to quarter. May be repeated for credit.,1,4
cryptography,MATH 187A,Introduction to Cryptography,An introduction to the basic concepts and techniques of modern cryptography. Classical cryptanalysis. Probabilistic models of plaintext. Monalphabetic and polyalphabetic substitution. The one-time system. Caesar-Vigenere-Playfair-Hill substitutions. The Enigma. Modern-day developments. The Data Encryption Standard. Public key systems. Security aspects of computer networks. Data protection. Electronic mail. Recommended preparation: basic programming experience. Renumbered from MATH 187. Students may not receive credit for both MATH 187A and MATH 187.,1,5
culture,ANTH 1,Introduction to Culture,"An introduction to the anthropological approach to understanding human behavior, with an examination of data from a selection of societies and cultures.",1,1
culture,LIPO 1A,Portuguese Conversation,"Small conversation sections taught entirely in the target language. Emphasis on listening comprehension, speaking, vocabulary building, reading, and culture. Emphasis on the language and culture of Brazil. Must be taken in conjunction with LIPO 1AX.",0,2
culture,LIPO 1B,Portuguese Conversation,"Small conversation sections taught entirely in the target language. Emphasis on listening comprehension, speaking, vocabulary building, reading, and culture. Emphasis on the language and culture of Brazil. Must be taken in conjunction with LIPO 1BX.",0,3
culture,LIPO 1C,Portuguese Conversation,"Small conversation sections taught entirely in the target language. Emphasis on listening comprehension, speaking, vocabulary building, reading, and culture. Emphasis on the language and culture of Brazil. Must be taken in conjunction with LIPO 1CX.",0,4
culture,LATI 50,Introduction to Latin America,"Interdisciplinary overview of society and culture in Latin America—including Mexico, the Caribbean, and South America: legacies of conquest, patterns of economic development, changing roles of women, expressions of popular culture, cycles of political change, and US-Latin American relations.",1,5
dance,TDDM 1,Introduction to Dance Making,"Explores the concepts and processes of dance making through creative projects, discussions, and the examination of major dance works. Recommended preparation: No prior dance experience required. Open to all levels.",1,1
dance,TDTR 20,Dance on Film,"The study of dance on film and video, the evolution of the creation, filming, editing, and production of dance for the camera. Major dance film works will be analyzed and discussed from choreography in the movies to dances made for film.",1,2
dance,TDGE 89,Dance Movement Exploration,An introduction to dance movement and understanding your body. A contemporary approach to dancing and its many genres as an expressive medium and form of communication. A movement course but no dance training or background in dance needed. May be taken for credit three times.,1,3
dance,TDTR 10,Introduction to Dance,"An overview of dance, examining its social and cultural history and its evolution as an art form. Focus is on dance and its many genres as an expressive medium and form of communication.",1,4
dance,TDHD 21,Dance Pioneers of the Twentieth and Twenty-First Centuries,"An historical overview of the most influential international dance pioneers in recent history, the cultural, political, and artistic contexts that informed the development of their work and the impact that their achievements have on the evolution of dance worldwide.",1,5
data science capstone,DSC 298R,Graduate Capstone in Data Science,"Following the life cycle of a data science project, students apply advanced data science knowledge and techniques to a specific domain. Cleaning and structuring data for hypothesis generation and data analysis; creating a scalable big date pipeline from data ingestion and exploration, to modeling and evaluation; building machine learning models and evaluating insights; communicating finding through visualizations and reports; fully considering ethical implications throughout.",1,1
data science capstone,DSE 260,Data Science Capstone Design Project,"A team design project in the final two quarters of the program culminates in a final report and an oral presentation of the capstone project. In addition, there might be a demonstration of the working prototype. The project will start by identifying a domain of interest and the available data sources that will be used to study the domain. From this starting point there will be two parallel and interdependent lines of work: data extraction, Transformation and Loading (ETL), and statistical analysis and model building. The ultimate goal will be to present a processing pipeline which transforms the raw data into more usable forms and models which separates between the predictable and the unpredictable aspects of the underlying system. Examples of previous capstone projects can be found here.",1,2
data science capstone,FMPH 495,Master’s Capstone/Thesis Independent Study,"In this independent study course, students will actively engage in work on their master’s capstone/thesis. May involve project conceptualization and operationalization, literature review, data collection, data analysis, and interpretation/writing.",0,3
data science capstone,DSC 80,The Practice and Application of Data Science,"The marriage of data, computation, and inferential thinking, or “data science,” is redefining how people and organizations solve challenging problems and understand the world. This course bridges lower- and upper-division data science courses as well as methods courses in other fields. Students master the data science life-cycle and learn many of the fundamental principles and techniques of data science spanning algorithms, statistics, machine learning, visualization, and data systems.",0,4
data science capstone,SIOC 296,Climate Science and Policy Forum,"Required course for MAS-CSP students will focus on development of MAS Capstone Projects and discussions covering climate science and policy issues, including informal student presentations on political, economic, historical, educational, and natural science issues related to climate science and policy. Letter grades only. May be taken for credit three times.",0,5
data science ethics,DSC 260,"Data Science, Ethics, and Society","This course will consider foundational concepts including power, justice, bias, privacy, and explainability; societal practices including delegation, organizational incentives, and accountability; and governance mechanisms including law, regulation, and norms.",1,1
data science ethics,PHIL 174,Data Ethics,"A survey of ethical issues arising in the collection, storage, analysis, consolidation, and application of data. Topics may include data as property and public resource, privacy and surveillance, data and discrimination, algorithms and fairness, and data regulation.",1,2
data science ethics,DSC 80,The Practice and Application of Data Science,"The marriage of data, computation, and inferential thinking, or “data science,” is redefining how people and organizations solve challenging problems and understand the world. This course bridges lower- and upper-division data science courses as well as methods courses in other fields. Students master the data science life-cycle and learn many of the fundamental principles and techniques of data science spanning algorithms, statistics, machine learning, visualization, and data systems.",0,3
data science ethics,PHIL 16,Science Fiction and Philosophy,"An introduction to philosophy which uses science fiction to make abstract philosophical problems vivid. Science fiction themes may include time travel, teleportation, virtual reality, super-intelligent robots, futuristic utopias, and parallel universes. These scenarios raise philosophical questions about knowledge, reality, ethics, and the mind.",0,4
data science ethics,DSC 267R,Data Fairness and Ethics,"Examination of the inevitable ethical questions and issues that arise in all stages of data science, including issues of privacy, bias, trust, and more. Conceptual and mathematical tools that can be used both to recognize and address these ethical issues as they arise in real-world practice. This is a distance education course.",1,5
data science project,DSC 180A,Data Science Project I,"In this two-course sequence students will investigate a topic and design a system to produce statistically informed output. The investigation will span the entire lifecycle, including assessing the problem, learning domain knowledge, collecting/cleaning data, creating a model, addressing ethical issues, designing the system, analyzing the output, and presenting the results. 180A deals with research, methodology, and system design. Students will produce a research summary and a project proposal.",1,1
data science project,DSC 180B,Data Science Project II,"In this two-course sequence students will investigate a topic and design a system to produce statistically informed output. The investigation will span the entire lifecycle, including assessing the problem, learning domain knowledge, collecting/cleaning data, creating a model, addressing ethical issues, designing the system, analyzing the output, and presenting the results. 180B will consist of implementing the project while studying the best practices for evaluation.",1,2
data science project,DSC 98,Directed Group Study in Data Science,"Students will investigate a topic in data science through directed reading, discussion, and project work under the supervision of a faculty member. May be taken for credit up to two times.",1,3
data science project,DSE 260,Data Science Capstone Design Project,"A team design project in the final two quarters of the program culminates in a final report and an oral presentation of the capstone project. In addition, there might be a demonstration of the working prototype. The project will start by identifying a domain of interest and the available data sources that will be used to study the domain. From this starting point there will be two parallel and interdependent lines of work: data extraction, Transformation and Loading (ETL), and statistical analysis and model building. The ultimate goal will be to present a processing pipeline which transforms the raw data into more usable forms and models which separates between the predictable and the unpredictable aspects of the underlying system. Examples of previous capstone projects can be found here.",1,4
data science project,COGS 127,Data-Driven UX/Product Design,"Create a UX/product design case study for your portfolio; team project with user research, data science, prototyping, and user testing.",1,5
data science theory,COGS 9,Introduction to Data Science,"Concepts of data and its role in science will be introduced, as well as the ideas behind data-mining, text-mining, machine learning, and graph theory, and how scientists and companies are leveraging those methods to uncover new insights into human cognition.",1,1
data science theory,DSC 40B,Theoretical Foundations of Data Science II,"The sequence DSC 40A-B introduces the theoretical foundations of data science. DSC 40B, the second course in the sequence, covers the fundamentals of computer science with applications to data science. Topics include time complexity analysis, the analysis of recursive algorithms, graph theory, and graph search algorithms. Whereas other courses in the curriculum, such as DSC 20 and DSC 30, may touch on these topics briefly, this course aims to develop a deeper, theoretical understanding. DSC 40A-B connect to DSC 10, 20, and 30 by providing the theoretical foundation for the methods that underlie data science.",1,2
data science theory,DSC 80,The Practice and Application of Data Science,"The marriage of data, computation, and inferential thinking, or “data science,” is redefining how people and organizations solve challenging problems and understand the world. This course bridges lower- and upper-division data science courses as well as methods courses in other fields. Students master the data science life-cycle and learn many of the fundamental principles and techniques of data science spanning algorithms, statistics, machine learning, visualization, and data systems.",1,3
data science theory,DSC 215R,Foundations of Probability and Statistics in Data Science,"Foundations of probability and statistics needed for data science, including mathematical theory, and hands-on experience of applying this theory to actual data using Jupyter notebooks. Random variables, dependence, correlation, regression, PCA, entropy and MDL. This course is a distance education course.",1,4
data science theory,DSC 95,Tutor Apprenticeship in Data Science,Students will receive training in skills and techniques necessary to be effective tutors for data science courses. Students will also gain practical experience in tutoring students on data science topics.,0,5
data science topics,DSC 95,Tutor Apprenticeship in Data Science,Students will receive training in skills and techniques necessary to be effective tutors for data science courses. Students will also gain practical experience in tutoring students on data science topics.,0,1
data science topics,DSC 291,Topics in Data Science,Topics of special interest in data science. Topics may vary quarter to quarter. Restricted to graduate level students.,1,2
data science topics,DSC 80,The Practice and Application of Data Science,"The marriage of data, computation, and inferential thinking, or “data science,” is redefining how people and organizations solve challenging problems and understand the world. This course bridges lower- and upper-division data science courses as well as methods courses in other fields. Students master the data science life-cycle and learn many of the fundamental principles and techniques of data science spanning algorithms, statistics, machine learning, visualization, and data systems.",1,3
data science topics,DSC 190,Topics in Data Science,Topics of special interest in data science. Topics vary from quarter to quarter. May be taken for credit up to four times when topic varies.,1,4
data science topics,DSC 40B,Theoretical Foundations of Data Science II,"The sequence DSC 40A-B introduces the theoretical foundations of data science. DSC 40B, the second course in the sequence, covers the fundamentals of computer science with applications to data science. Topics include time complexity analysis, the analysis of recursive algorithms, graph theory, and graph search algorithms. Whereas other courses in the curriculum, such as DSC 20 and DSC 30, may touch on these topics briefly, this course aims to develop a deeper, theoretical understanding. DSC 40A-B connect to DSC 10, 20, and 30 by providing the theoretical foundation for the methods that underlie data science.",1,5
data structures,CSE 100,Advanced Data Structures,"High-performance data structures and supporting algorithms. Use and implementation of data structures like (un)balanced trees, graphs, priority queues, and hash tables. Also, memory management, pointers, recursion. Theoretical and practical performance analysis, both average case and amortized. Uses C++ and STL. Recommended preparation: background in C or C++ programming.",1,1
data structures,CSE 100R,Advanced Data Structures,"High-performance data structures and supporting algorithms. Use and implementation of data structures like (un)balanced trees, graphs, priority queues, and hash tables. Also memory management, pointers, recursion. Theoretical and practical performance analysis, both average case and amortized. Uses C++ and STL.",1,2
data structures,DSC 30,Data Structures and Algorithms for Data Science,"Builds on topics covered in DSC 20 and provides practical experience in composing larger computational systems through several significant programming projects using Java. Students will study advanced programming techniques including encapsulation, abstract data types, interfaces, algorithms and complexity, and data structures such as stacks, queues, priority queues, heaps, linked lists, binary trees, binary search trees, and hash tables.",1,3
data structures,CSE 12,Basic Data Structures and Object-Oriented Design,"Use and implementation of basic data structures including linked lists, stacks, and queues. Use of advanced structures such as binary trees and hash tables. Object-oriented design including interfaces, polymorphism, encapsulation, abstract data types, pre-/post-conditions. Recursion. Uses Java and Java Collections.",1,4
data structures,DSC 20,Programming and Basic Data Structures for Data Science,"Provides an understanding of the structures that underlie the programs, algorithms, and languages used in data science by expanding the repertoire of computational concepts introduced in DSC 10 and exposing students to techniques of abstraction. Course will be taught in Python and will cover topics including recursion, higher-order functions, function composition, object-oriented programming, interpreters, classes, and simple data structures such as arrays, lists, and linked lists.",1,5
data visualization,DSE 241,Data Visualization,"The goal for the course is to use visualization as a tool to explore trends, relationships, confirm hypotheses, communicate findings, and gain insight about data. This course will focus on teaching students the principles and techniques for creating visual representation from raw data. The course exercises will be based on publicly available datasets and utilize freely available tools like D3.js and VisIt. The course will be modeled similar to Stanford’s visualization CS 448 course and will include an introduction to visualization, vis foundation review, color, interaction, dashboards and heat maps, introduction to D3.js, high dimensional data, network data, geographic data, text data, scientific visualization: isosurface, volume rendering, and introduction to VisIt.",1,1
data visualization,DSC 203,Data Visualization and Scalable Visual Analytics,"Commonly used algorithms and techniques in data visualization. Interactive reasoning and exploratory analysis through visual interfaces. Application of data visualization in various domains including science, engineering, and medicine. Scalable interactive methods involving exploring big data and visualization methods. Techniques to evaluate effectivity and interpretability of analytical products for diverse users to obtain insights in support of assessment, planning, and decision making.",1,2
data visualization,DSC 106,Introduction to Data Visualization,"Data visualization helps explore and interpret data through interaction. This course introduces the principles, techniques, and algorithms for creating effective visualizations. The course draws on the knowledge from several disciplines including computer graphics, human-computer interaction, cognitive psychology, design, and statistical graphics and synthesizes relevant ideas. Students will design visualization systems using D3 or other web-based software and evaluate their effectiveness.",1,3
data visualization,MAE 07,Spatial Visualization,"(Cross-listed with SE 7.) Spatial visualization is the ability to manipulate 2-D and 3-D shapes in one’s mind. In this course, students will perform exercises that increase their spatial visualization skills. P/NP grades only. Students may not receive credit for SE 7 and MAE 7.",0,4
data visualization,SE 7,Spatial Visualization,"Spatial visualization is the ability to manipulate 2D and 3D shapes in one’s mind. In this course, students will perform exercises that increase their spatial visualization skills. P/NP grades only. Students may not receive credit for SE 7 and MAE 7.",0,5
database,CSE 233,Database Theory,"Theory of databases. Theory of query languages, dependency theory, deductive databases, incomplete information, complex objects, object-oriented databases, and more. Connections to logic and complexity theory including finite model theory and descriptive complexity.",1,1
database,DSE 201,Database Management Systems,"This course will provide an introduction to the management of structured data beginning with an introduction to database models including relational, hierarchical, and network approaches. It will also cover topics in database system implementation including query languages and system architectures; parallel, column-oriented, and array-based database systems; advanced SQL features including user-defined functions (UDFs), triggers, statistical functions; and support for spatial data.",1,2
database,CSE 232B,Database System Implementation,"A hands-on approach to the principles of databases implementation. Algebraic rewriters/optimizers, query processors, triggers. Beyond centralized relational databases.",1,3
database,CSE 132A,Database System Principles,"Basic concepts of databases, including data modeling, relational databases, query languages, optimization, dependencies, schema design, and concurrency control. Exposure to one or several commercial database systems. Advanced topics such as deductive and object-oriented databases, time allowing.",1,4
database,CSE 132B,Database Systems Applications,"Design of databases, transactions, use of trigger facilities and datablades. Performance measuring, organization of index structures.",1,5
deep learning,CSE 151B,Deep Learning,"(Formerly CSE 154.) This course covers the fundamentals of neural networks. We introduce linear regression, logistic regression, perceptrons, multilayer networks and back-propagation, convolutional neural networks, recurrent networks, and deep networks trained by reinforcement learning. Students may receive credit for one of the following: CSE 151B, CSE 154, or COGS 181.",1,1
deep learning,ECE 271C,Deep Learning and Applications,"Foundations of deep learning. Deep learning architectures and learning algorithms. Feedforward, convolutional, and recurrent networks. Regularization. Applications to vision, speech, or text processing.",1,2
deep learning,COGS 181,Neural Networks and Deep Learning,"This course will cover the basics about neural networks, as well as recent developments in deep learning including deep belief nets, convolutional neural networks, recurrent neural networks, long-short term memory, and reinforcement learning. We will study details of the deep learning architectures with a focus on learning end-to-end models for these tasks, particularly image classification. Students may receive credit for one of the following: COGS 181, CSE 151B, or CSE 154.",1,3
