Query,Class Code,Class Title,Class Description
composite,SE 251A,Processing of Polymers and Composites,"Introduction to processing and fabrication methods of polymers and composite materials. Processing techniques; facilities and equipment; material-processing-microstructure interaction; materials selection; form and quality control. Extrusion; injection molding; blow molding; compression molding; thermoforming; casting; foaming. Wet layup; sprayup; autoclave cure, SMC; RTM; resin infusion; winding and fiber placement; pultrusion. Process induced defects and environmental considerations. Cross-listed with MATS 261A."
composite,MATS 261A,Processing of Polymers and Composites,"Introduction to processing and fabrication methods of polymers and composite materials. Processing techniques; facilities and equipment, material-processing-microstructure interaction, materials selection, form and quality control. Extrusion, injection molding, blow molding, compression molding, thermoforming, casting, foaming. Wet layup; sprayup; autoclave cure, SMC; RTM; resin infusion; winding and fiber placement; pultrusion. Process induced defects and environmental considerations."
computer science electives,CSE 197C,Cooperative Practicum in Computer Science and Engineering,Directed study accompanying full-time on-site computer science cooperative education practicum.
computer science electives,CSE 290,Seminar in Computer Science and Engineering,(Formerly CSE 280A.) A seminar course in which topics of special interest in computer science and engineering will be presented by staff members and graduate students under faculty direction. Topics vary from quarter to quarter. May be repeated for credit. (S/U grades only.)
computer science electives,CSE 599,Teaching Methods in Computer Science,Training in teaching methods in the field of computer science. This course examines theoretical and practical communication and teaching techniques particularly appropriate to computer science.
computer science electives,MATH 168A,Topics in Applied Mathematics—Computer Science,Topics to be chosen in areas of applied mathematics and mathematical aspects of computer science. May be taken for credit two times with different topics.
computer science electives,EDS 324DR,Teaching Methods in Computer Science,"Provides pedagogical and content knowledge and experiences to be an effective computer science teacher in the K-12 setting. Misconceptions in programming, teaching debugging, development of differentiated programming assignments, use of Use, Modify, Create approach, pedagogy, and classroom engagement practices for supporting student success. Experience teaching any programming language in the K-12 setting is recommended. Learning to teach Java is also recommended."
computer vision ,CSE 252A,Computer Vision I,"Comprehensive introduction to computer vision providing broad coverage including low-level vision (image formation, photometry, color, image feature detection), inferring 3-D properties from images (shape-from shading, stereo vision, motion interpretation) and object recognition. Companion to CSE 252B covering complementary topics."
computer vision ,CSE 252B,Computer Vision II,"Comprehensive introduction to computer vision providing focused coverage of multiview geometry, structure from motion, image segmentation, motion segmentation, texture analysis and recognition, object detection, and image-based rendering. Companion to CSE 252A covering complementary topics."
computer vision ,CSE 152B,Introduction to Computer Vision II,"This course covers advanced topics needed to apply computer vision in industry or follow current research. Example topics include real-time systems for 3-D computer vision, machine learning tools such as support-vector machine (SVM) and boosting for image classification, and deep neural networks for object detection and semantic segmentation."
computer vision ,CSE 152A,Introduction to Computer Vision I,"This course provides a broad introduction to the foundations, algorithms, and applications of computer vision. It introduces classical models and contemporary methods, from image formation models to deep learning, to address problems of 3-D reconstruction and object recognition from images and video. Topics include filtering, feature detection, stereo vision, structure from motion, motion estimation, and recognition. Programming assignments will be in Python. Students may not receive credit for both CSE 152A and CSE 152."
computer vision ,CSE 252D,Advanced Computer Vision,"This course covers advanced concepts in computer vision. Example topics include 3-D reconstruction, face recognition, object detection, semantic segmentation, action recognition, and domain adaptation. Consistent with recent developments, deep learning forms a significant fraction of the class. Lectures and assignments cover recent works on fundamental problems in computer vision, with the aim to prepare students for pursuing careers in the field. Recommended preparation: Completion of one of CSE 252A, 252B, 250A, or 250B is highly recommended."
computing,ECON 280,Computation,Introduction to computing for economists.
computing,COGS 3,Introduction to Computing,"Covers the fundamental concepts that underlie all programming languages and provides an introduction to the essential information about algorithms and data structures. Students design and implement web applications using HTML5, CSS3, JavaScript, and Photoshop. No previous programming experience is required."
computing,ECE 15,Engineering Computation,"Students learn the C programming language with an emphasis on high-performance numerical computation. The commonality across programming languages of control structures, data structures, and I/O is also covered. Techniques for using MATLAB to graph the results of C computations are developed."
computing,CSE 260,Parallel Computation,"(Formerly CSE 274A.) This course provides an overview of parallel hardware, algorithms, models, and software. Topics include Flynn’s taxonomy, interconnection networks, memory organization, a survey of commercially available multiprocessors, parallel algorithm paradigms and complexity criteria, parallel programming environments and tools for parallel debugging, language specification, mapping, performance, etc."
computing,VIS 142,Practices in Computing Arts,"A survey of the conceptual uses and historical precedents for the use of computers in art and design. Preparation for further study in the computing in the arts area by providing an introduction to ideation strategies and critique-based evaluation, and an overview of theoretical issues related to the use of computers by artists and designers. Introduces the students to the program’s computing and production facilities, and basic computer programming skills. Two production-course limitation. Program or materials fees may apply."
conservation,ECON 144,Economics of Conservation,"Examines conservation of biodiversity from an economic perspective. Topics include valuing biodiversity, defining successful conservation, and evaluating the cost effectiveness of policies such as conservation payments, ecotourism, and privatization. Emphasis on forests, coral reefs, elephants, tigers, and sea turtles."
conservation,ENVR 105,Conservation Solutions,"A project-based course in which students will develop and implement a curriculum module for high school students at the Dawson Los Monos Canyon Reserve. Includes an introduction to the natural history and resource management challenges of this ecological preserve. Students will conduct research projects which will be used to create a curriculum module for a high school environmental science course and guide high school students through field research and a discussion of conservation solutions. Course may include a required field trip, and students are responsible for their own transportation."
conservation,ANBI 132,Conservation and the Human Predicament,"Interdisciplinary discussion of the human predicament, biodiversity crisis, and importance of biological conservation. Examines issues from biological, cultural, historical, economic, social, political, and ethical perspectives emphasizing new approaches and new techniques for safeguarding the future of humans and other biosphere inhabitants."
conservation,ANBI 114,Methods in Primate Conservation,"Primate (and other vertebrate) conservation involves a variety of methods: field (e.g., population and habitat assessment), computer (e.g., population genetic models), and increasingly the web (e.g., interactive GIS and databases). Course takes problem-solving approach to learning some of these methods."
conservation,BIEB 176,Biology of Conservation and the Human Predicament,"Discussion of the human predicament, biodiversity crisis, and importance of biological conservation. Examines issues from biological perspectives emphasizing new approaches and new techniques for safeguarding the future of humans and other biosphere inhabitants."
convolutional neural networks,COGS 181,Neural Networks and Deep Learning,"This course will cover the basics about neural networks, as well as recent developments in deep learning including deep belief nets, convolutional neural networks, recurrent neural networks, long-short term memory, and reinforcement learning. We will study details of the deep learning architectures with a focus on learning end-to-end models for these tasks, particularly image classification. Students may receive credit for one of the following: COGS 181, CSE 151B, or CSE 154."
convolutional neural networks,CSE 151B,Deep Learning,"(Formerly CSE 154.) This course covers the fundamentals of neural networks. We introduce linear regression, logistic regression, perceptrons, multilayer networks and back-propagation, convolutional neural networks, recurrent networks, and deep networks trained by reinforcement learning. Students may receive credit for one of the following: CSE 151B, CSE 154, or COGS 181."
convolutional neural networks,ECE 271C,Deep Learning and Applications,"Foundations of deep learning. Deep learning architectures and learning algorithms. Feedforward, convolutional, and recurrent networks. Regularization. Applications to vision, speech, or text processing."
convolutional neural networks,DSC 257R,Unsupervised Learning,"Broad view of the field of unsupervised learning, in particular its most common methods and use cases. Topics include descriptive statistics; clustering; projection, singular value decomposition, and spectral embedding; common probability distributions; density estimation; graphical models and latent variable modeling; sparse coding and dictionary learning; autoencoders, shallow and deep; and self-supervised learning."
convolutional neural networks,ECE 176,Introduction to Deep Learning and Applications,"This course covers the fundamentals in deep learning, basics in deep neural network including different network architectures (e.g., ConvNet, RNN), and the optimization algorithms for training these networks. We will have hands-on implementation courses in PyTorch. This course will also introduce the deep learning applications in computer vision, robotics, and sequence modeling in natural language processing."
cooking,LTCS 165,Special Topics: The Politics of Food,"This course will examine the representation and politics of food in literary and other cultural texts. Topics may include food and poverty, the fast food industry, controversies about seed, sustainable food production, myths about hunger, eating and epistemology, aesthetics, etc. May be taken for credit up to three times as topics vary."
cooking,BIBC 120,Nutrition,"Elaborates the relationship between diet and human metabolism, physiology, health, and disease. Covers the functions of carbohydrates, lipids, proteins, vitamins, and minerals, and discusses dietary influences on cardiovascular disease, diabetes, obesity, and cancer."
cooking,ANSC 114,Food Cultures of South Asia,"This course explores the diverse food cultures of South Asia, focusing on the ways food, spices, and beverages shape identity, social relations, and cultural heritage. It will place food practices in the context of food security, sustainability, inequality, nutrition, family, and kinship. Students develop projects focused on understanding the cultural and historical significance of a particular food dish or regional culinary tradition."
cooking,NO RESULTS,NO RESULTS,NO RESULTS
cooking,NO RESULTS,NO RESULTS,NO RESULTS
covid 19,FPM 247,Clinical Epidemiology Seminar,"This seminar is designed to expand the student’s understanding of clinical epidemiology by investigating several major controversial issues, such as treatment of breast cancer, oral hypoglycemic in diabetes, and dietary habits as a risk factor for coronary artery disease. The seminar will address clinical and methodological issues in the epidemiology of various chronic diseases."
covid 19,FMPH 462,Non-Communicable Diseases and Global Health,"This course will focus on the health and economic burden of non-communicable diseases (NCD) globally, understanding global patterns of major diseases and disease categories (cancer, CVD, diabetes, obesity) and health behaviors (smoking, diet, physical activity), global health policy and advocacy, and intervention strategies and evaluation of health programs related to global NCD. We will cover select global health issues in a format allowing for in-depth discussion."
covid 19,GLBH 202,Global Health Epidemiology,"This course will address basic epidemiology principles, concepts, and procedures that are used in the investigation of health-related states or events from a global perspective. Explores study designs and methods appropriate for studies of incidence and prevalence, causality and prevention, with emphasis on research in resource-poor settings. May be coscheduled with GLBH 102."
covid 19,NO RESULTS,NO RESULTS,NO RESULTS
covid 19,NO RESULTS,NO RESULTS,NO RESULTS
creative writing ,LTSP 166,Creative Writing,A workshop designed to foster and encourage writing in Spanish of students working on short forms of fiction. The workshop will include discussions of techniques and intensive writing.
creative writing ,PSYC 176,Creativity,"This course provides an overview of how to foster creativity in individuals, groups, and organizations. Themes that cut across all three levels are highlighted."
creative writing ,PSYC 219,Writing about Thinking,"Students will study the cognitive faculties that govern our ability to read for comprehension, along with the opportunities and challenges they create for writers. By reading and discussing primary research, and through feedback on their own writing, students will learn to apply psychological science to the writing activities of psychological scientists (scientific reports, literature reviews, grant proposals, communication with colleagues and students, and writing for the general public)."
creative writing ,LTWR 8B,Writing Poetry,"Study and practice of poetry as artistic and communal expression. Techniques of composition (traditional forms, avant garde techniques, dramatic monologue, performance poetry, and new genre) studied through written and spoken examples of poetry. Students are required to attend at least three New Writing Series readings during the quarter."
creative writing ,TDGE 3,Cultivating the Creative Mind,"This course will use the theatrical context to integrate scientific research about creativity, group dynamics, and related topics. Through a mix of theoretical and experiential classes and assignments, we will explore the intersection of theatre and neuroscience, investigating and expanding the creative mind."
creativity,PSYC 176,Creativity,"This course provides an overview of how to foster creativity in individuals, groups, and organizations. Themes that cut across all three levels are highlighted."
creativity,MGT 422,Creativity and Innovation,"This course focuses on fostering and maintaining creativity in entrepreneurial ventures and in general management more broadly. Reading materials, cases, classroom, and home exercises will help students understand and be able to use creativity in their own working lives. Students may not earn credit for both MGT 422 and MGT 222. They are course equivalents."
creativity,TDGE 3,Cultivating the Creative Mind,"This course will use the theatrical context to integrate scientific research about creativity, group dynamics, and related topics. Through a mix of theoretical and experiential classes and assignments, we will explore the intersection of theatre and neuroscience, investigating and expanding the creative mind."
creativity,LTSP 166,Creative Writing,A workshop designed to foster and encourage writing in Spanish of students working on short forms of fiction. The workshop will include discussions of techniques and intensive writing.
creativity,DSGN 118,Design for Future Creativity and Productivity,"This course covers fundamentals of the design of creativity support tools for various types of digital content, including images, videos, animations, information visualization, augmented/mixed/virtual reality. We will also explore how novel interaction techniques such as gestural interaction, speech input, and artificial intelligence can be used to support people’s creativity and productivity."
credit cards,MGT 12,Personal Financial Management,"Course examines management of personal financial assets: savings and checking accounts, fixed assets, and credit cards. Budgeting, loan applications, payment terms, and statement reconciliation will be covered as will credit ratings, cash management, compound interest, bank operations, and contract obligations."
credit cards,MGT 408,Finance,"Through lecture and online delivery, this course will focus on basic business financial concepts with particular attention to challenges of finance in start-up and small- and medium-sized enterprises. Letter grades only."
credit cards,MGT 184,Money and Banking,"Focuses on role of financial institutions, implications for firm financing and valuation as well as the Federal Reserve, financial regulation, the money supply process, and monetary policy. Mechanisms through which monetary policy affects businesses and credit channels will be covered."
credit cards,NO RESULTS,NO RESULTS,NO RESULTS
credit cards,NO RESULTS,NO RESULTS,NO RESULTS
cryptography,MATH 187A,Introduction to Cryptography,An introduction to the basic concepts and techniques of modern cryptography. Classical cryptanalysis. Probabilistic models of plaintext. Monalphabetic and polyalphabetic substitution. The one-time system. Caesar-Vigenere-Playfair-Hill substitutions. The Enigma. Modern-day developments. The Data Encryption Standard. Public key systems. Security aspects of computer networks. Data protection. Electronic mail. Recommended preparation: basic programming experience. Renumbered from MATH 187. Students may not receive credit for both MATH 187A and MATH 187.
cryptography,CSE 207,Modern Cryptography,"Private and public key cryptography, introduction to reduction-based proofs of security, concrete security, block ciphers, pseudorandom functions and generators, symmetric encryption, asymmetric encryption, computational number theory, RSA and discrete log systems, message authentication, digital signatures, key distribution and key management."
cryptography,MATH 187B,Mathematics of Modern Cryptography,"The object of this course is to study modern public key cryptographic systems and cryptanalysis (e.g., RSA, Diffie-Hellman, elliptic curve cryptography, lattice-based cryptography, homomorphic encryption) and the mathematics behind them. We also explore other applications of these computational techniques (e.g., integer factorization and attacks on RSA). Recommended preparation: Familiarity with Python and/or mathematical software (especially SAGE) would be helpful, but it is not required."
cryptography,CSE 208,Advanced Cryptography,"Zero-knowledge, secure computation, session-key distribution, protocols, electronic payment, one-way functions, trapdoor permutations, pseudorandom bit generators, hardcore bits."
cryptography,CSE 107,Introduction to Modern Cryptography,"Topics include private and public-key cryptography, block ciphers, data encryption, authentication, key distribution and certification, pseudorandom number generators, design and analysis of protocols, zero-knowledge proofs, and advanced protocols. Emphasizes rigorous mathematical approach including formal definitions of security goals and proofs of protocol security."
culture,ANSC 118,Language and Culture,"An introduction to the study of cultural patterns of thought, action, and expression, in relation to language. We consider comparatively semiotics and structuralism, cognition and categorization, universals versus particulars, ideologies of stasis and change, cultural reconstruction, and ethnopoetics."
culture,ANTH 1,Introduction to Culture,"An introduction to the anthropological approach to understanding human behavior, with an examination of data from a selection of societies and cultures."
culture,ANSC 120,Religion and Culture,"Explores religious life in various cultures. Topics addressed include the problem of religious meaning, psychocultural aspects of religious experience, religious conversion and revitalization, contrasts between traditional and world religions, religion and social change."
culture,LTCS 260,National Cultures,Selected topics on the construction of national cultural identities. Investigation of the dynamics of canon formation and nation building in specific historical contexts. May be taken up to three times for credit when topics vary. Restricted to major code LT77 or consent of instructor and department.
culture,LTEU 154,Russian Culture,"An introduction to Russia’s past and present through the cross-disciplinary study of literature, the visual and performing arts, social and political thought, civic rituals, popular entertainments, values and practices from 1825 to the present. May be taken for credit up to three times as topics vary."
cystic fibrosis,BENG 267,Microcirculation in Health and Disease,"Structural and functional aspects of transport and blood-tissue exchange in key organs during circulatory shock, bacterial toxemia, hypertension. Physical and ultrastructural techniques used to analyze small-vessel dynamics."
cystic fibrosis,BIOM 264,Molecular and Cellular Basis of Disease,"Lectures on the molecular and cellular mechanisms of pathogenesis. Topics will include Alzheimer’s disease, cell surface and unclear receptors in disease, signal transduction by oncogenes in cancer cells, AIDS, human diseases affecting glycosylation pathways, rheumatoid arthritis, and arteriosclerosis."
cystic fibrosis,FMPH 462,Non-Communicable Diseases and Global Health,"This course will focus on the health and economic burden of non-communicable diseases (NCD) globally, understanding global patterns of major diseases and disease categories (cancer, CVD, diabetes, obesity) and health behaviors (smoking, diet, physical activity), global health policy and advocacy, and intervention strategies and evaluation of health programs related to global NCD. We will cover select global health issues in a format allowing for in-depth discussion."
cystic fibrosis,NO RESULTS,NO RESULTS,NO RESULTS
cystic fibrosis,NO RESULTS,NO RESULTS,NO RESULTS
dance,TDTR 10,Introduction to Dance,"An overview of dance, examining its social and cultural history and its evolution as an art form. Focus is on dance and its many genres as an expressive medium and form of communication."
dance,TDHD 20,Looking at Dance,"Focuses on the foundational aesthetic concepts of dance creation and performance within a diverse range of cultural contexts. Students develop descriptive, perceptual, and analytical skills."
dance,TDGR 208,Dance Making Processes,This course serves as a laboratory for experimentation in the choreographic strategies and structures of contemporary dance making. S/U grades only. May be taken for credit eight times.
dance,TDDM 1,Introduction to Dance Making,"Explores the concepts and processes of dance making through creative projects, discussions, and the examination of major dance works. Recommended preparation: No prior dance experience required. Open to all levels."
dance,TDDM 100,Dance Making 1,"Practical and conceptual studies of approaches to dance making. Compositional projects enable students to create short works for solo, duet, and small group situations with options to explore interdisciplinary collaboration, specific sites, text, political and societal issues, and advanced partner work."
data science capstone,DSE 260,Data Science Capstone Design Project,"A team design project in the final two quarters of the program culminates in a final report and an oral presentation of the capstone project. In addition, there might be a demonstration of the working prototype. The project will start by identifying a domain of interest and the available data sources that will be used to study the domain. From this starting point there will be two parallel and interdependent lines of work: data extraction, Transformation and Loading (ETL), and statistical analysis and model building. The ultimate goal will be to present a processing pipeline which transforms the raw data into more usable forms and models which separates between the predictable and the unpredictable aspects of the underlying system. Examples of previous capstone projects can be found here."
data science capstone,DSC 298R,Graduate Capstone in Data Science,"Following the life cycle of a data science project, students apply advanced data science knowledge and techniques to a specific domain. Cleaning and structuring data for hypothesis generation and data analysis; creating a scalable big date pipeline from data ingestion and exploration, to modeling and evaluation; building machine learning models and evaluating insights; communicating finding through visualizations and reports; fully considering ethical implications throughout."
data science capstone,COGS 108,Data Science in Practice,"Data science is multidisciplinary, covering computer science, statistics, cognitive science and psychology, data visualization, artificial intelligence and machine learning, among others. This course teaches critical skills needed to pursue a data science career using hands-on programming and experimental challenges."
data science capstone,NANO 281,Data Science in Materials Science,"Comprehensive introduction into the application of data science to materials science. Introduction to broad array of machine learning techniques (e.g., supervised, unsupervised) and applications (e.g., regression, dimensionality reduction, classification), with a focus on practical examples in materials science."
data science capstone,MGTF 423,Data Science for Finance,"Introduction to a collection of powerful, open-source tools needed to manage and analyze data and to conduct data science in finance applications. Course will give an overview of the basic process of data science and dive into the data management and machine learning techniques useful for financial data analysis."
data science ethics,DSC 261,Responsible Data Science,"Data science lifecycle, data cleaning and quality management, data profiling, causal inference, algorithmic fairness (fairness definitions, impossibility results, causal fairness, building fair ML models, fairness beyond classification), algorithmic transparency (interpretability versus explainability, auditing-black-box algorithms, algorithmic recourse)."
data science ethics,PHIL 174,Data Ethics,"A survey of ethical issues arising in the collection, storage, analysis, consolidation, and application of data. Topics may include data as property and public resource, privacy and surveillance, data and discrimination, algorithms and fairness, and data regulation."
data science ethics,DSC 267R,Data Fairness and Ethics,"Examination of the inevitable ethical questions and issues that arise in all stages of data science, including issues of privacy, bias, trust, and more. Conceptual and mathematical tools that can be used both to recognize and address these ethical issues as they arise in real-world practice. This is a distance education course."
data science ethics,DSC 260,"Data Science, Ethics, and Society","This course will consider foundational concepts including power, justice, bias, privacy, and explainability; societal practices including delegation, organizational incentives, and accountability; and governance mechanisms including law, regulation, and norms."
data science ethics,SIOG 232,Ethical and Professional Science,"Review and group discussion of professional behavior and survival skills in the earth and ocean sciences, including ethics, data management, plagiarism, authorships, preparing proposals, public speaking, conflict of interest, working with industry."
data science project,DSC 180A,Data Science Project I,"In this two-course sequence students will investigate a topic and design a system to produce statistically informed output. The investigation will span the entire lifecycle, including assessing the problem, learning domain knowledge, collecting/cleaning data, creating a model, addressing ethical issues, designing the system, analyzing the output, and presenting the results. 180A deals with research, methodology, and system design. Students will produce a research summary and a project proposal."
data science project,COGS 108,Data Science in Practice,"Data science is multidisciplinary, covering computer science, statistics, cognitive science and psychology, data visualization, artificial intelligence and machine learning, among others. This course teaches critical skills needed to pursue a data science career using hands-on programming and experimental challenges."
data science project,DSC 180B,Data Science Project II,"In this two-course sequence students will investigate a topic and design a system to produce statistically informed output. The investigation will span the entire lifecycle, including assessing the problem, learning domain knowledge, collecting/cleaning data, creating a model, addressing ethical issues, designing the system, analyzing the output, and presenting the results. 180B will consist of implementing the project while studying the best practices for evaluation."
data science project,COGS 9,Introduction to Data Science,"Concepts of data and its role in science will be introduced, as well as the ideas behind data-mining, text-mining, machine learning, and graph theory, and how scientists and companies are leveraging those methods to uncover new insights into human cognition."
data science project,DSC 206,Algorithms for Data Science,"This course studies the mathematical foundations of massive data processing, developing algorithms, and analyzing them. We explore methods for sampling, sketching, and distributed processing of large scale databases, clustering, dimensionality reduction, and methods of optimization for the purpose of scalable statistical description, querying, pattern mining, and learning from data."
data science theory,DSC 40A,Theoretical Foundations of Data Science I,"The sequence DSC 40A-B introduces the theoretical foundations of data science. DSC 40A, the first course in the sequence, exposes students to the mathematical theory underlying fundamental topics in machine learning. Topics include empirical risk minimization, optimization, regression, classification, and discrete probability. Students practice creative problem-solving while learning how to rigorously justify and communicate mathematical ideas."
data science theory,MATH 216A,Mathematical Methods in Data Science I,"This is the first course in a three-course sequence in mathematical methods in data science, and will serve as an introduction to the rest of the sequence. Topics include principal component analysis and the singular value decomposition, sparse representation, dictionary learning, the Johnson Lindenstrauss Lemma and its applications, compressed sensing, kernel methods, nearest neighbor searches, and spectral and subspace clustering. Some scientific programming experience is recommended."
data science theory,DSC 202,Data Management for Data Science,"Principles of data management, relational data model, relational algebra, SQL for data science, NoSQL databases (document, key-value, graph, column-family), multidimensional data management (data warehousing, OLAP Queries, OLAP Cubes, visualizing multidimensional data)."
data science theory,COGS 9,Introduction to Data Science,"Concepts of data and its role in science will be introduced, as well as the ideas behind data-mining, text-mining, machine learning, and graph theory, and how scientists and companies are leveraging those methods to uncover new insights into human cognition."
data science theory,COGS 108,Data Science in Practice,"Data science is multidisciplinary, covering computer science, statistics, cognitive science and psychology, data visualization, artificial intelligence and machine learning, among others. This course teaches critical skills needed to pursue a data science career using hands-on programming and experimental challenges."
data science topics,DSC 291,Topics in Data Science,Topics of special interest in data science. Topics may vary quarter to quarter. Restricted to graduate level students.
data science topics,DSC 190,Topics in Data Science,Topics of special interest in data science. Topics vary from quarter to quarter. May be taken for credit up to four times when topic varies.
data science topics,COGS 108,Data Science in Practice,"Data science is multidisciplinary, covering computer science, statistics, cognitive science and psychology, data visualization, artificial intelligence and machine learning, among others. This course teaches critical skills needed to pursue a data science career using hands-on programming and experimental challenges."
data science topics,COGS 9,Introduction to Data Science,"Concepts of data and its role in science will be introduced, as well as the ideas behind data-mining, text-mining, machine learning, and graph theory, and how scientists and companies are leveraging those methods to uncover new insights into human cognition."
data science topics,DSC 96,Workshop in Data Science,Students will explore topics and tools relevant to the practice of data science in a workshop format. The instructor works with students on guided projects to help students acquire knowledge and skills to complement their course work in the core data science classes. Topics vary from quarter to quarter. Students are strongly recommended to enroll in either DSC 10 or DSC 20 concurrently.
data structures,CSE 100R,Advanced Data Structures,"High-performance data structures and supporting algorithms. Use and implementation of data structures like (un)balanced trees, graphs, priority queues, and hash tables. Also memory management, pointers, recursion. Theoretical and practical performance analysis, both average case and amortized. Uses C++ and STL."
data structures,CSE 100,Advanced Data Structures,"High-performance data structures and supporting algorithms. Use and implementation of data structures like (un)balanced trees, graphs, priority queues, and hash tables. Also, memory management, pointers, recursion. Theoretical and practical performance analysis, both average case and amortized. Uses C++ and STL. Recommended preparation: background in C or C++ programming."
data structures,DSC 20,Programming and Basic Data Structures for Data Science,"Provides an understanding of the structures that underlie the programs, algorithms, and languages used in data science by expanding the repertoire of computational concepts introduced in DSC 10 and exposing students to techniques of abstraction. Course will be taught in Python and will cover topics including recursion, higher-order functions, function composition, object-oriented programming, interpreters, classes, and simple data structures such as arrays, lists, and linked lists."
data structures,CSE 12,Basic Data Structures and Object-Oriented Design,"Use and implementation of basic data structures including linked lists, stacks, and queues. Use of advanced structures such as binary trees and hash tables. Object-oriented design including interfaces, polymorphism, encapsulation, abstract data types, pre-/post-conditions. Recursion. Uses Java and Java Collections."
data structures,DSC 30,Data Structures and Algorithms for Data Science,"Builds on topics covered in DSC 20 and provides practical experience in composing larger computational systems through several significant programming projects using Java. Students will study advanced programming techniques including encapsulation, abstract data types, interfaces, algorithms and complexity, and data structures such as stacks, queues, priority queues, heaps, linked lists, binary trees, binary search trees, and hash tables."
data visualization,DSE 241,Data Visualization,"The goal for the course is to use visualization as a tool to explore trends, relationships, confirm hypotheses, communicate findings, and gain insight about data. This course will focus on teaching students the principles and techniques for creating visual representation from raw data. The course exercises will be based on publicly available datasets and utilize freely available tools like D3.js and VisIt. The course will be modeled similar to Stanford’s visualization CS 448 course and will include an introduction to visualization, vis foundation review, color, interaction, dashboards and heat maps, introduction to D3.js, high dimensional data, network data, geographic data, text data, scientific visualization: isosurface, volume rendering, and introduction to VisIt."
data visualization,DSC 106,Introduction to Data Visualization,"Data visualization helps explore and interpret data through interaction. This course introduces the principles, techniques, and algorithms for creating effective visualizations. The course draws on the knowledge from several disciplines including computer graphics, human-computer interaction, cognitive psychology, design, and statistical graphics and synthesizes relevant ideas. Students will design visualization systems using D3 or other web-based software and evaluate their effectiveness."
data visualization,COGS 220,Information Visualization,"This seminar surveys current research in information visualization with the goal of preparing students to do original research. The focus is on the cognitive aspects of information design, dynamic representations, and computational techniques. Topics vary each time course is offered."
data visualization,DSC 203,Data Visualization and Scalable Visual Analytics,"Commonly used algorithms and techniques in data visualization. Interactive reasoning and exploratory analysis through visual interfaces. Application of data visualization in various domains including science, engineering, and medicine. Scalable interactive methods involving exploring big data and visualization methods. Techniques to evaluate effectivity and interpretability of analytical products for diverse users to obtain insights in support of assessment, planning, and decision making."
data visualization,COGS 128,Information Visualization,"This course frames information visualization as a quintessential cognitive science problem within our interdisciplinary field. Students learn conceptual and practical aspects of creating high-quality, interactive information displays to support a variety of cognitive tasks and then apply them to real-world data."
database,BIMM 182,Biological Databases,"This course provides an introduction to the features of biological data, how that data is organized efficiently in databases, and how existing data resources can be utilized to solve a variety of biological problems. Object-oriented databases, data modeling and description, survey of current biological database with respect to above, implementation of database focused on a biological topic. This course open to bioinformatics majors only."
database,BENG 182,Biological Databases,"(Cross-listed as BIMM 182, CSE 182, and CHEM 182.) This course provides an introduction to the features of biological data, how those data are organized efficiently in databases, and how existing data resources can be utilized to solve a variety of biological problems. Object-oriented databases, data modeling, and data description. Survey of current biological database with respect to above; implementation of database focused on a biological topic."
database,CSE 182,Biological Databases,"(Cross-listed as BIMM 182, CSE 182, and CHEM 182.) This course provides an introduction to the features of biological data, how those data are organized efficiently in databases, and how existing data resources can be utilized to solve a variety of biological problems. Object-oriented databases, data modeling, and data description. Survey of current biological database with respect to above; implementation of database focused on a biological topic."
database,CHEM 182,Biological Databases,"(Cross-listed as BIMM 182, CSE 182, and CHEM 182.) This course provides an introduction to the features of biological data, how those data are organized efficiently in databases, and how existing data resources can be utilized to solve a variety of biological problems. Object-oriented databases, data modeling, and data description. Survey of current biological database with respect to above; implementation of database focused on a biological topic."
database,CSE 232,Principles of Database Systems,"(Formerly CSE 264D.) Database models including relational, hierarchic, and network approaches. Implementation of databases including query languages and system architectures."
deep learning,CSE 151B,Deep Learning,"(Formerly CSE 154.) This course covers the fundamentals of neural networks. We introduce linear regression, logistic regression, perceptrons, multilayer networks and back-propagation, convolutional neural networks, recurrent networks, and deep networks trained by reinforcement learning. Students may receive credit for one of the following: CSE 151B, CSE 154, or COGS 181."
deep learning,COGS 181,Neural Networks and Deep Learning,"This course will cover the basics about neural networks, as well as recent developments in deep learning including deep belief nets, convolutional neural networks, recurrent neural networks, long-short term memory, and reinforcement learning. We will study details of the deep learning architectures with a focus on learning end-to-end models for these tasks, particularly image classification. Students may receive credit for one of the following: COGS 181, CSE 151B, or CSE 154."
deep learning,ECE 271C,Deep Learning and Applications,"Foundations of deep learning. Deep learning architectures and learning algorithms. Feedforward, convolutional, and recurrent networks. Regularization. Applications to vision, speech, or text processing."
deep learning,ECE 176,Introduction to Deep Learning and Applications,"This course covers the fundamentals in deep learning, basics in deep neural network including different network architectures (e.g., ConvNet, RNN), and the optimization algorithms for training these networks. We will have hands-on implementation courses in PyTorch. This course will also introduce the deep learning applications in computer vision, robotics, and sequence modeling in natural language processing."
deep learning,ECE 226,Optimization and Acceleration of Deep Learning on Various Hardware Platforms,"This course aims to present the mathematical and computational challenges for holistic content/algorithm/hardware codesign of an efficient deep learning framework. Participants will discuss selected topics including DNNs, CNNs, and RNNs in both supervised and unsupervised settings. Special emphasis will be on optimizing DL physical performance on different hardware platforms. The hardware platforms include CPU-CPU and CPU-GPU architectures."
