Code,Department,Title,Units,Description,Prerequisites,Level,URL
DSGN 199,DSGN,Independent Project,2 or 4,"This independent project course is for individual, advanced students who wish to complete a design project under the mentorship of a faculty member. Students should contact faculty whose research interests them to discuss possible projects. P/NP grades only. May be taken for credit three times.","upper-division standing, 2.5 GPA, consent of instructor, and department approval.",Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=DSGN+199
DSGN 201,DSGN,Human-Centered Design and Complex Sociotechnical Systems,4,"This course will teach fundamentals of design from an explicitly multi-epistemic and multidisciplinary lens. Foundations on both power and privilege and ethical responses within design will be emphasized. A range of design strategies, from a classic professional-led approach to co-design and community-driven variations of design will be reviewed.",graduate standing.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=DSGN+201
DSGN 260,DSGN,Advanced Topics in Design,4,Special topics in design. May be taken for credit eighteen times.,graduate standing and consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=DSGN+260
DSGN 261,DSGN,Advanced Design Project,4,Special topics in design. S/U grades only. May be taken for credit three times. Recommended preparation: may require maker-lab or shop skills.,graduate standing and consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=DSGN+261
DSGN 299,DSGN,Independent Project,2 or 4,"Students study, research, and implement project under the direction of a member of the faculty. S/U grades only. May be taken for credit three times. Recommended preparation: may require maker-lab or shop skills.",graduate standing and consent of instructor.,Graduate,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=DSGN+299
DOC 1,DOC,Dimensions of Culture: Diversity,4,"This course focuses on sociocultural diversity in examining class, ethnicity, race, gender, and sexuality as significant markers of differences among persons. Emphasizing American society while cultivating students’ critical reading skills, it explores the cultural understandings of diversity and its economic, moral, and political consequences. Restrictions: Marshall College students only, must be taken for a letter grade.",satisfaction of UC Entry Level Writing Requirement or concurrent enrollment in AWP 1: Analytical Writing. (F),Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=DOC+1
DOC 2,DOC,Dimensions of Culture: Justice,6,"This course considers the nature of justice in philosophical, historical, and legal terms. Topics include racial justice, political representation, economic justice, gender and justice, the rights of cultural minorities, and crime and punishment. The course offers intensive instruction in writing university-level expository prose, specifically thesis-based argumentative essays. Restrictions: Marshall College students only, must be taken for a letter grade.",satisfaction of UC Entry Level Writing Requirement and completion of DOC 1. Enrollment by department approval only. (W),Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=DOC+2
DOC 3,DOC,Dimensions of Culture: Imagination,6,"This course examines the relevance of sociocultural diversity and the nature of justice in explicitly local and contemporary contexts. Students are asked to imagine and propose rigorously researched and interdisciplinary solutions to issues relevant to their own lived experiences. The course offers intensive instruction in writing university-level expository prose, with special emphasis on developing a research process. Restrictions: Marshall College students only, must be taken for a letter grade.",DOC 2. (S),Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=DOC+3
DOC 100D,DOC,Dimensions of Culture: Promises and Contradictions in US Culture,4,"This course provides a broad overview of key historical contradictions in US history and explores the origins of social stratifications and movements. Students acquire tools for analyzing national tensions. Central aspects include slavery, women’s rights, and rising corporate power. Course introduces concepts at the intersections of class, gender, religion, race, and sexuality. Students learn to analyze and discuss complex historical/societal artifacts. Designed for two student sectors: 1) Marshall College transfer students who have not taken the DOC sequence, and 2) Transfer and other upper-division students from all seven colleges who want to fulfill the campuswide diversity requirement.",upper-division standing and completion of college writing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=DOC+100D
ECON 1,ECON,Principles of Microeconomics,4,"Introduction to the study of the economic system. Course will introduce the standard economic models used to examine how individuals and firms make decisions in perfectly competitive markets, and how these decisions affect supply and demand in output markets.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+1
ECON 2,ECON,Market Imperfections and Policy,4,"Analysis of monopoly and imperfectly competitive markets, market imperfections and the role of government.",ECON 1.,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+2
ECON 3,ECON,Principles of Macroeconomics,4,"Introductory macroeconomics: unemployment, inflation, business cycles, monetary and fiscal policy.",ECON 1.,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+3
ECON 4,ECON,Financial Accounting,4,"(Cross-listed with MGT 4.) Recording, organizing, and communicating financial information relating to business entities. Credit not allowed for both ECON 4 and MGT 4.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+4
ECON 5,ECON,Data Analytics for the Social Sciences,4,"(Cross-listed with POLI 5D.) Introduction to probability and analysis for understanding data in the social world. Students engage in hands-on learning with applied social science problems. Basics of probability, visual display of data, data collection and management, hypothesis testing, and computation. Students may receive credit for only one of the following courses: ECON 5, POLI 5, or POLI 5D.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+5
ECON 87,ECON,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students. May be repeated when course topics vary. (P/NP grades only.)",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+87
ECON 100A,ECON,Microeconomics A,4,"Economic analysis of household determination of the demand for goods and services, consumption/saving decisions, and the supply of labor.",ECON 1 and MATH 10C or 20C or 31BH.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+100A
ECON 100B,ECON,Microeconomics B,4,"Analysis of firms’ production and costs, the supply of output and demand factors of production. Analysis of perfectly competitive markets.",ECON 100A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+100B
ECON 100C,ECON,Microeconomics C,4,"Analysis of the effects of imperfect market structure, strategy, and imperfect information.",ECON 100B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+100C
ECON 100AH,ECON,Honors Microeconomics A,1,Honors sequence expanding on the material taught in ECON 100A. Major GPA of 3.5 or better required. May be taken concurrently with ECON 100A or after successful completion of ECON 100A with A– or better or consent of instructor. Priority enrollment given to majors in the department.,department approval required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+100AH
ECON 100BH,ECON,Honors Microeconomics B,1,Honors sequence expanding on the material taught in ECON 100B. Major GPA of 3.5 or better required. May be taken concurrently with ECON 100B or after successful completion of ECON 100B with A– or better or consent of instructor. Priority enrollment given to majors in the department.,department approval required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+100BH
ECON 100CH,ECON,Honors Microeconomics C,1,Honors sequence expanding on the material taught in ECON 100C. Major GPA of 3.5 or better required. May be taken concurrently with ECON 100C or after successful completion of ECON 100C with A– or better or consent of instructor. Priority enrollment given to majors in the department.,department approval required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+100CH
ECON 101,ECON,International Trade,4,"Examines theories of international trade in goods and services and relates the insights to empirical evidence. Explains international trade at the level of industries and firms and analyzes the consequences of trade for resource allocation, welfare, and the income distribution. Discusses sources of comparative advantage, motives for trade policies, and the effects of trade barriers and trading blocs on welfare and incomes.",ECON 100B or 102.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+101
ECON 102,ECON,Globalization,4,"Presents theories of global economic integration, grounded in the principle of comparative advantage. Investigates patterns of trade when trade is balanced and capital flows when trade is not balanced. Assesses the consequences of global economic integration and economic policies for industry location, incomes, welfare and economic growth, and studies goods, services and sovereign debt markets.",ECON 1 or 100B and 2 or 3 or MATH 20C.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+102
ECON 102T,ECON,Advanced Topic in Globalization,2,"This course presents a selection of empirical applications and advanced topics that build on the material covered in ECON 102, Globalization. Students have the opportunity to analyze global trade and capital market data and to prepare a presentation and brief paper on a specific topic.",department approval required. May be taken concurrently with ECON 102 or after completion of ECON 102.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+102T
ECON 103,ECON,International Monetary Relations,4,Analyzes exchange rates and the current account. Relates their joint determination to financial markets and the real-side macroeconomy using international macroeconomic models and presents empirical regularities. Discusses macroeconomic policies under different exchange rate regimes and implications for financial stability and current account sustainability.,ECON 102 or 110B or 173A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+103
ECON 104,ECON,Nobody’s Fool: Economics with Morals,2,"The prevailing paradigm in economics is self-interest, but what if acting unselfishly is what is in your self-interest? We will explore economic questions from the viewpoint that individuals have moral values that guide how they live. This allows us to address issues like fairness, love, marriage, giving, identity, conformity, discrimination, crime, punishment, and reparations.",ECON 100C.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+104
ECON 105,ECON,Industrial Organization and Firm Strategy,4,"Theory of monopoly and oligopoly pricing, price discrimination, durable goods pricing, cartel behavior, price wars, strategic entry barriers, mergers, pro- and anticompetitive restraints on business.",ECON 100C.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+105
ECON 106,ECON,International Economic Agreements,4,"Examines reasons for international economic agreements, their design, the strategic interactions that determine how the agreements are implemented and sustained, and consequences for global welfare and inequality. Draws on international economics, game theory, law and economics, and political economy to understand international economic agreements. These tools are used to understand multilateral trade and investment agreements, such as NAFTA, and international organizations, such as the WTO.",ECON 100B and 102.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+106
ECON 107,ECON,Economic Regulation and Antitrust Policy,4,"Detailed treatment of antitrust policy: Sherman Act, price fixing, collusive practices, predatory pricing, price discrimination, double marginalization, exclusive territories, resale price maintenance, refusal to deal, and foreclosure. Theory of regulation and regulatory experience in electrical utilities, oil, telecommunications, broadcasting, etc.",ECON 2 or 100B; and MATH 10C or 20C or 31BH.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+107
ECON 109,ECON,Game Theory,4,"Introduction to game theory. Analysis of people’s decisions when the consequences of the decisions depend on what other people do. This course features applications in economics, political science, and law.",ECON 100C or MATH 31CH or MATH 109 or (CSE 20 and MATH 20 C).,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+109
ECON 109T,ECON,Advanced Topics in Game Theory,2,This course presents a selection of applications and advanced topics that build on the material covered in the ECON 109. Game Theory course.,department approval required. May be taken concurrently with ECON 109 or after completion of ECON 109.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+109T
ECON 110A,ECON,Long Run Macroeconomics,4,"Analysis of the determination of long run growth and models of the determination of output, interest rates, and the price level. Analysis of inflation, unemployment, and monetary and fiscal policy.",ECON 1 and ECON 3 and MATH 10C or MATH 20C or MATH 31BH.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+110A
ECON 110B,ECON,Short Run Macroeconomics,4,"Analysis of the determination of consumption spending at the aggregate level; extension of the basic macro model to include exchange rates and international trade; the aggregate money supply, and the business cycle.",ECON 1 and ECON 3 and MATH 10C or MATH 20C or MATH 31BH.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+110B
ECON 110AH,ECON,Honors Macroeconomics A,1,Honors sequence expanding on the material taught in ECON 110A. Major GPA of 3.5 or better required. May be taken concurrently with ECON 110A or after successful completion of ECON 110A with A–or better or consent of instructor. Priority enrollment given to majors in the department.,department approval required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+110AH
ECON 110BH,ECON,Honors Macroeconomics B,1,Honors sequence expanding on the material taught in ECON 110B. Major GPA of 3.5 or better required. May be taken concurrently with ECON 110B or after successful completion of ECON 110B with A– or better or consent of instructor. Priority enrollment given to majors in the department.,department approval required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+110BH
ECON 111,ECON,Monetary Economics,4,Financial structure of the US economy. Bank behavior. Monetary control.,ECON 110B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+111
ECON 112,ECON,Macroeconomic Data Analysis,4,"Examines time series methods for data analysis with an emphasis on macroeconomic applications. Students are provided with an overview of fundamental time series techniques, hands-on experience in applying them to real-world macroeconomic data, and expertise in performing empirical tests of policy-relevant macroeconomic theories, such as the permanent income hypothesis, the Keynesian fiscal multiplier, and the Phillips curve.",ECON 110B and ECON 120B or MATH 181B. Enrollment limited to majors in the Department of Economics and MA33 only.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+112
ECON 113,ECON,Mathematical Economics,4,Mathematical concepts and techniques used in advanced economic analysis; applications to selected aspects of economic theory.,ECON 100C or MATH 140A or MATH 142A and MATH 18 or MATH 31AH.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+113
ECON 116,ECON,Economic Development,4,"Introduction to the economics of less developed countries, covering their international trade, human resources, urbanization, agriculture, income distribution, political economy, and environment.",ECON 2 or 100B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+116
ECON 117,ECON,Economic Growth,4,"Basic economic dynamics, consumption versus growth with fixed or growing populations, the Harrod-Domar growth model, the neoclassical growth model, optimal growth, the Golden Rule, money and economic growth, technological progress and economic growth, human capital and endogenous economic growth, and alternative theories of growth and distribution.",ECON 100A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+117
ECON 118,ECON,"Law and Economics: Torts, Property, and Crime",4,"Uses economic theory to evaluate the economic effects of US law in several legal fields, including tort law (accidents), products liability law, property law, criminal law (law enforcement), and litigation. Also considers risk bearing and why people buy insurance.",ECON 2 or 100A; and MATH 10A or 20A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+118
ECON 119,ECON,Law and Economics: Contracts and Corporations,4,"This course asks how firms are organized and why the corporate form dominates, how corporations are governed and the distortions that result, when firms borrow and how they deal with financial distress and bankruptcy. The course will present basic legal doctrines in corporate law, contract law, debtor-creditor law, and bankruptcy, and use economic models to analyze whether and when these doctrines promote economically efficient behavior.",ECON 2 or 100A and MATH 10A or 20A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+119
ECON 120A,ECON,Econometrics A,4,"Probability and statistics used in economics. Probability and sampling theory, statistical inference, and use of spreadsheets. Credit not allowed for ECON 120A after ECE 109, MAE 108, MATH 180A, MATH 183, or MATH 186.",ECON 1; and MATH 10C or 20C or 31BH.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+120A
ECON 120B,ECON,Econometrics B,4,"Basic econometric methods, including the linear regression, hypothesis testing, quantifying uncertainty using confidence intervals, and distinguishing correlation from causality. Credit not allowed for both ECON 120B after MATH 181B.",ECON 120A or ECE 109 or MAE 108 or MATH 180A or MATH 183 or MATH 186.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+120B
ECON 120C,ECON,Econometrics C,4,"Advanced econometric methods: estimation of linear regression models with endogeneity, economic methods designed for panel data sets, estimation of discrete choice models, time series analysis, and estimation in the presence of autocorrelated and heteroskedastic errors.",ECON 120B or MATH 181B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+120C
ECON 120AH,ECON,Honors Econometrics A,1,Honors sequence expanding on the material taught in ECON 120A. Major GPA of 3.5 or better required. May be taken concurrently with ECON 120A or after successful completion of ECON 120A with A– or better or consent of instructor. Priority enrollment given to majors in the department.,department approval required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+120AH
ECON 120BH,ECON,Honors Econometrics B,1,Honors sequence expanding on the material taught in ECON 120B. Major GPA of 3.5 or better required. May be taken concurrently with ECON 120B or after successful completion of ECON 120B with A– or better or consent of instructor. Priority enrollment given to majors in the department.,department approval required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+120BH
ECON 120CH,ECON,Honors Econometrics C,1,Honors sequence expanding on the material taught in ECON 120C. Major GPA of 3.5 or better required. May be taken concurrently with ECON 120C or after successful completion of ECON 120C with A– or better or consent of instructor. Priority enrollment given to majors in the department.,department approval required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+120CH
ECON 121,ECON,Applied Econometrics and Data Analysis,4,"Theoretically develops extensions to the standard econometric toolbox, studies their application in scientific research, and applies them to data. Emphasis is on using techniques, and on understanding and critically assessing others’ use of them. Requires practical work on the computer using a range of data from around the world. Topics include advanced regression analysis, limited dependent variables, nonparametric methods, and new methods for causal inference.",ECON 120C.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+121
ECON 122,ECON,Econometric Theory,4,"Detailed study of the small sample and asymptotic properties of estimators commonly used in applied econometric work: multiple linear regression, instrumental variables, generalized method of moments, and maximum likelihood. Econometric computation using MATLAB. Recommended preparation: ECON 120C.",ECON 120B or MATH 181B and MATH 18 or MATH 31AH.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+122
ECON 125,ECON,Demographic Analysis and Forecasting,4,"Interaction between economic forces and demographic changes are considered, as are demographic composition and analysis; fertility, mortality, and migration processes and trends. Course emphasizes the creation, evaluation, and interpretation of forecasts for states, regions, and subcounty areas. ECON 178 is recommended.",ECON 120B or MATH 181B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+125
ECON 129,ECON,"Cities, Inequality, Innovation",4,"Explores the dual role of cities as places of innovation and job creation but also places of great economic inequality and segregation over the last century. Studies the experience of American cities, identifying fundamental forces that made them prosper or decline. Connect cities to observed aggregate trends in innovation, job creation, and economic inequality. Practices use of GIS software to organize and analyze spatial data.",ECON 110A and (ECON 120A or ECE 109 or MAE 108 or MATH 180A or MATH 183 or MATH 186).,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+129
ECON 130,ECON,Public Policy,4,"Course uses basic microeconomic tools to discuss a wide variety of public issues, including the war on drugs, global warming, natural resources, health care and safety regulation. Appropriate for majors who have not completed ECON 100A-B-C and students from other departments.",ECON 2 or 100A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+130
ECON 131,ECON,Economics of the Environment,4,"Environmental issues from an economic perspective. Relation of the environment to economic growth. Management of natural resources, such as forest and fresh water. Policies on air, water, and toxic waste pollution. International issues such as ozone depletion and sustainable development.",ECON 2 or 100A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+131
ECON 132,ECON,Energy Economics,4,"Energy from an economic perspective. Fuel cycles for coal, hydro, nuclear, oil, and solar energy. Emphasis on efficiency and control of pollution. Comparison of energy use across sectors and across countries. Global warming. Role of energy in the international economy.",ECON 1 and (ECON 2 or 3 or 100A or 131 or ESYS 103 or MAE 124) and MATH 10C or 20C or 31BH.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+132
ECON 134,ECON,The US Social Safety Net,4,"Examines major issues relating to the US social safety net, including Social Security, low-income assistance, unemployment and disability insurance, distributional and efficiency effects of the tax system, and the relation of these issues to the overall US government budget.",ECON 100A. Enrollment limited to majors in the Department of Economics and MA33 only.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+134
ECON 135,ECON,Urban Economics,4,"(Cross-listed with USP 102.) Economic analysis of why cities develop, patterns of land use in cities, why cities suburbanize, and the pattern of urban commuting. The course also examines problems of urban congestion, air pollution, zoning, poverty, crime, and discusses public policies to deal with them. Credit not allowed for both ECON 135 and USP 102.",ECON 2 or 100A; and MATH 10A or 20A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+135
ECON 136,ECON,Human Resources,4,"A practical yet theory-based study of the firm’s role in managing workers, including issues related to hiring, education and training, promotions, layoffs and buyouts, and the overarching role that worker compensation plays in all of these.",ECON 100B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+136
ECON 137,ECON,Corruption,4,"This course examines corruption in developing countries today, with the aims of understanding why it occurs, what the consequences are, and what can or should be done about it. In the process, we will endeavor to build practical problem-solving and communication skills. As such, the course is designed for future leaders in business, nonprofit, and public service settings who seek to develop their ability to map high-quality research into pragmatic enterprise decision making.",ECON 100C and 120C. Enrollment limited to majors in the Department of Economics and MA33 only; department approval required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+137
ECON 138,ECON,Economics of Discrimination,4,"This course will investigate differences in economic outcomes on the basis of race, gender, ethnicity, religion, and sexual orientation. We will study economic theories of discrimination, empirical work testing those theories, and policies aimed at alleviating group-level differences in economic outcomes.",ECON 1.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+138
ECON 139,ECON,Labor Economics,4,"Theoretical and empirical analysis of labor markets. Topics include labor supply, labor demand, human capital investment, wage inequality, labor mobility, immigration, labor market discrimination, labor unions and unemployment.",ECON 2 or 100B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+139
ECON 140,ECON,Economics of Health Producers,4,"Provides an overview of the physician, hospital, and pharmaceutical segments of the health sector. Uses models of physician behavior, for-profit and nonprofit institutions to understand the trade-offs facing health-sector regulators and the administrators of public and private insurance arrangements.",ECON 2 or 100B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+140
ECON 141,ECON,Economics of Health Consumers,4,"Demand for health care and health insurance, employer provision of health insurance and impact on wages and job changes. Cross-country comparisons of health systems.",ECON 100C.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+141
ECON 142,ECON,Behavioral Economics,4,"Course will study economic models in which standard economic rationality assumptions are combined with psychologically plausible assumptions on behavior. We consider whether the new models improve ability to predict and understand phenomena including altruism, trust and reciprocity, procrastination, and self-control.",ECON 109.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+142
ECON 143,ECON,Experimental Economics,4,"Explore use of experiments to study individual and interactive (strategic) decision making. Topics may include choice over risky alternatives, altruism and reciprocity, allocation and information aggregation in competitive markets, cooperation and collusion, bidding in auctions, strategy in coordination and “outguessing” games.",ECON 100C. Enrollment limited to majors in the Department of Economics and MA33 only.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+143
ECON 144,ECON,Economics of Conservation,4,"Examines conservation of biodiversity from an economic perspective. Topics include valuing biodiversity, defining successful conservation, and evaluating the cost effectiveness of policies such as conservation payments, ecotourism, and privatization. Emphasis on forests, coral reefs, elephants, tigers, and sea turtles.",ECON 2 or 100A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+144
ECON 145,ECON,Economics of Ocean Resources,4,"Economic issues associated with oceans. Economics of managing renewable resources in the oceans, with an emphasis on fisheries, economics of conservation and biodiversity preservation for living marine resources, with an emphasis on whales, dolphins, sea turtles, and coral reefs.",ECON 2 or 100A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+145
ECON 146,ECON,Economic Stabilization,4,Theory of business cycles and techniques used by governments to stabilize an economy. Discussion of recent economic experience.,ECON 110B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+146
ECON 147,ECON,Economics of Education,4,"Examination of issues in education using theoretical and empirical approaches from economics. Analysis of decisions to invest in education. Consideration of various market structures in education, including school choice and school finance programs.",ECON 2 or 100A; and ECON 120B or MATH 181B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+147
ECON 149,ECON,Introduction to Economic Design,4,"The course will examine the theory and practice of designing markets and institutions for strategic agents. We will discuss applications in auctions, voting and social choice, online platforms, resource allocation, and matching markets.",none.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+149
ECON 150,ECON,Public Economics: Taxation,4,"Overview of the existing national tax structure in the United States, its effects on individual and firm decisions, and the resulting efficiency costs and distributional consequences. The course concludes with an examination of several commonly-proposed tax reforms.",ECON 100C.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+150
ECON 151,ECON,Public Economics: Expenditures I,4,Overview of the public sector in the United States and the scope of government intervention in economic life. Theory of public goods and externalities. Discussion of specific expenditure programs such as education and national defense.,ECON 100C.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+151
ECON 152,ECON,Public Economics: Expenditures II,4,"Overview of the public sector in the United States and the justifications for government intervention in economic life. Theory of income redistribution and social insurance. Applications to current policy in such areas as health insurance, welfare, unemployment insurance, and Social Security.",ECON 100C.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+152
ECON 158,ECON,Economic History of the United States I,4,"(Cross-listed with HIUS 140.) The United States as a raw materials producer, as an agrarian society, and as an industrial nation. Emphasis on the logic of the growth process, the social and political tensions accompanying expansion, and nineteenth- and early twentieth-century transformations of American capitalism. Credit not allowed for both ECON 158 and HIUS 140.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+158
ECON 159,ECON,Economic History of the United States II,4,"(Cross-listed with HIUS 141.) The United States as a modern industrial nation. Emphasis on the logic of the growth process, the social and political tensions accompanying expansion, and twentieth-century transformations of American capitalism. Credit not allowed for both ECON 159 and HIUS 141.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+159
ECON 162,ECON,Economics of Mexico,4,"Survey of the Mexican economy. Topics such as economic growth, business cycles, saving-investment balance, financial markets, fiscal and monetary policy, labor markets, industrial structure, international trade, and agricultural policy.",ECON 1 and 3.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+162
ECON 164,ECON,The Indian Economy,4,"Survey of the Indian economy. Historical overview and perspective; political economy; democracy and development; economic growth; land, labor, and credit markets; poverty and inequality; health, education, and human development; technology and development; institutions and state capacity; contemporary policy issues and debates.",ECON 1 and 3.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+164
ECON 164T,ECON,Advanced Topics in the Indian Economy,2,ECON 164T will cover topics in more depth than in ECON 164 with more extensive readings and discussion. The class will meet in a seminar format where students will be expected to actively participate in discussions based on the readings and write a short paper at the end of the quarter.,department approval required. May be taken concurrently with ECON 164 or after completion of ECON 164.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+164T
ECON 165,ECON,Middle East Economics,4,"Socioeconomic development in the Arab world, Iran, and Turkey. Historical perspective; international trade and fuel resources; education, health, and gender gaps; unemployment and migration; population and environment; Islam and democracy.",ECON 1 and 3.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+165
ECON 165T,ECON,Advanced Topics in Middle East Economics,2,This course will cover certain country experiences and certain topics in more depth than in ECON 165. Students will also have the opportunity to choose countries and topics of particular interest to them for further reading and as subjects for a presentation and brief paper.,department approval required. May be taken concurrently with ECON 165 or after completion of ECON 165.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ECON+165T
